Algorithm,Timestamp,Elapsed Time,Curr Run,Curr Eval,min-c,max-c,d-c,max-d-stripes,sUDI
BOBYQA,2019-03-20 10:13:28.321311,269.1747410297394,1,1,0.20382389220586677,0.6735007143142743,0.21335927292901835,0.24561926966367423,38.0
BOBYQA,2019-03-20 10:17:48.797673,529.6511032581329,1,2,0.31632389220586676,0.6735007143142743,0.21335927292901835,0.24561926966367423,34.0
BOBYQA,2019-03-20 10:22:18.661308,799.5147385597229,1,3,0.20382389220586677,0.8235007143142743,0.21335927292901835,0.24561926966367423,39.0
BOBYQA,2019-03-20 10:26:52.636516,1073.4899463653564,1,4,0.20382389220586677,0.6735007143142743,0.32585927292901834,0.24561926966367423,34.0
BOBYQA,2019-03-20 10:31:27.138374,1347.9918041229248,1,5,0.20382389220586677,0.6735007143142743,0.21335927292901835,0.4298337219114298,48.0
BOBYQA,2019-03-20 10:36:03.504991,1624.3584218025208,1,6,0.09132389220586677,0.6735007143142743,0.21335927292901835,0.24561926966367423,37.0
BOBYQA,2019-03-20 10:40:33.439887,1894.2933175563812,1,7,0.20382389220586677,0.5235007143142743,0.21335927292901835,0.24561926966367423,31.0
BOBYQA,2019-03-20 10:45:04.100303,2164.9537336826324,1,8,0.20382389220586677,0.6735007143142743,0.10085927292901835,0.24561926966367423,41.0
BOBYQA,2019-03-20 10:49:19.755630,2420.6090602874756,1,9,0.20382389220586677,0.6735007143142743,0.21335927292901835,0.06140481741591858,21.0
BOBYQA,2019-03-20 10:53:52.498303,2693.351733446121,1,10,0.1830216686919738,0.7369627469467003,0.13725450092705205,0.5355248987890295,46.0
BOBYQA,2019-03-20 10:58:27.957017,2968.8104479312897,1,11,0.20337598075880786,0.6839673359265308,0.2416318492312317,0.5084131461585628,53.0
BOBYQA,2019-03-20 11:02:59.753684,3240.6071150302887,1,12,0.20496007205433794,0.6951072192977691,0.3206150593385445,0.638852047807694,50.0
BOBYQA,2019-03-20 11:07:38.726449,3519.5798795223236,1,13,0.2033287485989191,0.7008885045605597,0.24461318595111478,0.5361247004711175,56.99999999999999
BOBYQA,2019-03-20 11:12:13.826175,3794.679605484009,1,14,0.21484067572995555,0.7701900189801039,0.2515651589575514,0.5636072131715671,50.0
BOBYQA,2019-03-20 11:16:53.207724,4074.0611543655396,1,15,0.2033782629596139,0.6831497255359312,0.24148779464890513,0.5070741573903732,45.0
BOBYQA,2019-03-20 11:21:41.301400,4362.154830694199,1,16,0.1856317741643234,0.7018126522191045,0.23855478615820866,0.5704976762973984,61.0
BOBYQA,2019-03-20 11:26:28.177564,4649.03099489212,1,17,0.20065777855518202,0.6956004153535297,0.22933798945510586,0.605562976905179,56.00000000000001
BOBYQA,2019-03-20 11:31:13.849860,4934.7032907009125,1,18,0.1795018624112919,0.7031405798976408,0.23973654275517636,0.5857355957142156,62.0
BOBYQA,2019-03-20 11:36:01.498124,5222.3515548706055,1,19,0.17022643125836107,0.707498395531967,0.24327911194499083,0.5789254686572197,64.0
BOBYQA,2019-03-20 11:40:49.811742,5510.665172815323,1,20,0.15603083676109875,0.7141172238283009,0.2520295999019679,0.5555652778503465,62.0
BOBYQA,2019-03-20 11:45:36.319574,5797.173004388809,1,21,0.1685366195527489,0.7092083366425495,0.23912567538321675,0.5956893758314078,61.0
BOBYQA,2019-03-20 11:50:25.705696,6086.559126615524,1,22,0.16663815010212515,0.6935044511995242,0.24302221050912143,0.5758769316004252,64.0
BOBYQA,2019-03-20 11:55:14.911586,6375.765016317368,1,23,0.16622473375890284,0.705774136242596,0.2417616684455522,0.5620211890347475,60.0
BOBYQA,2019-03-20 12:00:02.401338,6663.254768371582,1,24,0.1705956904350808,0.7026516982319438,0.2537136826286895,0.5823337856126805,59.0
BOBYQA,2019-03-20 12:04:50.484036,6951.337466239929,1,25,0.17178977966797543,0.7080380041277888,0.2379350346975416,0.580052368171532,65.0
BOBYQA,2019-03-20 12:09:38.377824,7239.2312541008,1,26,0.17532966341515335,0.7080742469292959,0.23367836814361445,0.581681539010216,64.0
BOBYQA,2019-03-20 12:14:26.251111,7527.104541540146,1,27,0.16997996574521726,0.7092189854336788,0.23647575538518217,0.5779044167882658,62.0
BOBYQA,2019-03-20 12:19:14.546926,7815.400356531143,1,28,0.17388363763792497,0.7064001861975456,0.2390413552597295,0.5815106224655526,63.0
BOBYQA,2019-03-20 12:24:03.615282,8104.468712091446,1,29,0.17252726019714693,0.7091026951097458,0.2381685246401777,0.5797706555308888,63.0
BOBYQA,2019-03-20 12:28:50.963961,8391.817391395569,1,30,0.17133961923752242,0.7068245972149688,0.23770020018781882,0.5807463755987413,61.0
BOBYQA,2019-03-20 12:33:39.562002,8680.415432691574,1,31,0.17214871376094834,0.7079088766871516,0.237803666575644,0.5783270749297585,61.0
BOBYQA,2019-03-20 12:38:27.524581,8968.378011465073,1,32,0.17139403916116094,0.7088906032163332,0.23812962538317983,0.5813849175277988,62.0
BOBYQA,2019-03-20 12:43:15.775419,9256.628849983215,1,33,0.1720909274632584,0.7082738980334439,0.23752446203056357,0.580315615313392,60.0
BOBYQA,2019-03-20 12:48:03.325710,9544.179140329361,1,34,0.1717116122474947,0.7080110236979978,0.23820223855991404,0.5799960231958164,60.0
BOBYQA,2019-03-20 12:52:56.615102,9837.468532800674,1,35,0.1716504254028371,0.708027244200774,0.2377056131629085,0.5799155387957798,56.99999999999999
BOBYQA,2019-03-20 12:57:56.710962,10137.564392089844,1,36,0.1718735339867734,0.707972491410579,0.23797928752002911,0.580110698343293,59.0
BOBYQA,2019-03-20 13:02:55.427282,10436.280712366104,1,37,0.1717529213100218,0.7081787125835376,0.23793498805620983,0.5800316011034211,63.0
BOBYQA,2019-03-20 15:02:13.770625,17594.624055862427,1,38,0.1717449370237405,0.7080059204033511,0.23792579276757528,0.580088569354781,60.0
BOBYQA,2019-03-20 15:07:12.053839,17892.907269239426,1,39,0.1717808063156511,0.7080412323138049,0.23793831890058903,0.5800955005025764,65.0
BOBYQA,2019-03-20 15:12:04.831389,18185.684819459915,1,40,0.1718071033012442,0.7080665151769835,0.2379322263676326,0.5800606815249273,61.0
BOBYQA,2019-03-20 15:17:02.570910,18483.424340248108,1,41,0.1717936070869333,0.708037252979865,0.2379370509888589,0.580035388193418,68.0
BOBYQA,2019-03-20 15:21:51.772482,18772.62591290474,1,42,0.17179154901088523,0.7080401375132285,0.23794679610081798,0.5800275901409144,63.0
