Algorithm,Timestamp,Elapsed Time,Curr Run,Curr Eval,min-c,max-c,d-c,max-d-stripes,sUDI
COBYLA,02:20.9,319.3519568,1,1,0.465570306,0.82163712,0.446390061,0.520478262,40
COBYLA,07:18.5,616.96679,1,2,0.491392576,0.82163712,0.446390061,0.520478262,35
COBYLA,12:09.6,907.9968007,1,3,0.465570306,0.97163712,0.446390061,0.520478262,32
COBYLA,17:14.9,1213.308199,1,4,0.465570306,0.82163712,0.486597515,0.520478262,40
COBYLA,22:27.7,1526.17941,1,5,0.465570306,0.82163712,0.446390061,0.795478262,57
COBYLA,27:53.4,1851.828359,1,6,0.458929535,0.75991578,0.446390061,1.035934315,66
COBYLA,33:11.0,2169.42077,1,7,0.451985876,0.900101076,0.446390061,1.1,56
COBYLA,38:38.0,2496.424028,1,8,0.458929535,0.75991578,0.460033978,1.035934315,66
COBYLA,44:04.6,2823.034868,1,9,0.483646912,0.734164357,0.446390061,1.1,69
COBYLA,49:28.1,3146.583675,1,10,0.483358859,0.58417369,0.446390061,1.1,70
COBYLA,54:57.7,3476.172356,1,11,0.489342802,0.517715303,0.446390061,1.1,67
COBYLA,00:24.6,3803.041352,1,12,0.483194976,0.584242056,0.446390061,1.063286924,65
COBYLA,05:57.3,4135.767978,1,13,0.470589906,0.573073819,0.446390061,1.1,69
COBYLA,11:23.9,4462.350686,1,14,0.483358859,0.58417369,0.455898488,1.1,70
COBYLA,16:50.5,4788.928546,1,15,0.495039977,0.552225104,0.446390061,1.1,70
COBYLA,22:20.1,5118.517797,1,16,0.486108809,0.618101141,0.446390061,1.1,72
COBYLA,28:13.3,5471.730496,1,17,0.488858759,0.652028593,0.446390061,1.1,65
COBYLA,33:44.4,5802.824659,1,18,0.485463302,0.622687259,0.446390061,1.098670639,65
COBYLA,39:13.3,6131.749779,1,19,0.492056478,0.603521291,0.446390061,1.1,73
COBYLA,44:46.4,6464.81684,1,20,0.491954956,0.597293716,0.445137581,1.080093193,64
COBYLA,50:16.8,6795.259873,1,21,0.490925554,0.577730165,0.439308728,1.1,66
COBYLA,55:45.8,7124.239401,1,22,0.491440563,0.603216875,0.448120693,1.072937645,69
COBYLA,01:15.3,7453.705788,1,23,0.492809493,0.586270021,0.455237771,1.1,69
COBYLA,06:43.2,7781.674921,1,24,0.497260238,0.625356175,0.445326748,1.1,70
COBYLA,12:25.9,8124.3776,1,25,0.489751755,0.616317173,0.447175662,1.1,72
COBYLA,18:12.1,8470.519601,1,26,0.4922153,0.600611927,0.448766122,1.1,69
COBYLA,23:42.8,8801.279181,1,27,0.491665256,0.602866945,0.446355661,1.099979609,69
COBYLA,29:12.4,9130.808412,1,28,0.49318442,0.610154753,0.446212147,1.098682336,64
COBYLA,34:45.1,9463.527841,1,29,0.492347168,0.602667779,0.446207032,1.09792695,65
COBYLA,40:13.9,9792.321924,1,30,0.490672432,0.608206122,0.446696151,1.1,67
COBYLA,45:43.1,10121.55376,1,31,0.492089619,0.603607015,0.446394731,1.096261363,60
COBYLA,51:10.0,10448.46474,1,32,0.49223814,0.59645971,0.444761538,1.1,72
COBYLA,56:41.5,10779.97906,1,33,0.492056878,0.603665963,0.446405849,1.096448127,70
COBYLA,02:14.2,11112.6388,1,34,0.491971612,0.595832796,0.444958198,1.1,63
COBYLA,07:41.6,11440.08556,1,35,0.492075518,0.603557322,0.446390998,1.094244461,73
COBYLA,13:07.7,11766.09407,1,36,0.491913982,0.595735461,0.445008347,1.099772193,70
COBYLA,18:36.8,12095.21423,1,37,0.49198523,0.599628376,0.445699204,1.099886097,73
COBYLA,24:08.3,12426.69666,1,38,0.492397225,0.604060122,0.446086221,1.1,69
COBYLA,29:38.6,12757.00397,1,39,0.492124016,0.603295328,0.446441847,1.099982095,68
COBYLA,35:09.5,13087.95315,1,40,0.491790771,0.604606268,0.446017502,1.099920301,67
COBYLA,40:38.1,13416.5822,1,41,0.492065902,0.602223893,0.446913054,1.099980218,66
COBYLA,46:07.2,13745.66781,1,42,0.49206119,0.602872592,0.446651557,1.099990109,64
