Algorithm;Timestamp;Elapsed Time;Run;Eval;min-c;max-c;d-c;max-d-stripes;Result;Best Result
direct-l;2018-05-21 10:41:24.200125;371.6216127872467;1;1;0.275;0.8;0.275;0.55;56.99999999999999;56.99999999999999
direct-l;2018-05-21 10:47:50.404467;757.825954914093;1;2;0.125;0.8;0.275;0.55;59.0;59.0
direct-l;2018-05-21 10:54:12.655671;1140.0771596431732;1;3;0.425;0.8;0.275;0.55;56.99999999999999;59.0
direct-l;2018-05-21 11:00:28.313103;1515.7345910072327;1;4;0.275;0.6;0.275;0.55;54.0;59.0
direct-l;2018-05-21 11:06:42.251781;1889.6732695102692;1;5;0.275;1.0;0.275;0.55;56.00000000000001;59.0
direct-l;2018-05-21 11:12:59.065468;2266.4869565963745;1;6;0.275;0.8;0.125;0.55;62.0;62.0
direct-l;2018-05-21 11:19:27.254192;2654.675679922104;1;7;0.275;0.8;0.425;0.55;64.0;64.0
direct-l;2018-05-21 11:25:21.946023;3009.3675112724304;1;8;0.275;0.8;0.275;0.18333333333333338;36.0;64.0
direct-l;2018-05-21 11:31:51.230585;3398.6520733833313;1;9;0.275;0.8;0.275;0.9166666666666666;66.0;66.0
direct-l;2018-05-21 11:38:19.406186;3786.827674627304;1;10;0.125;0.8;0.275;0.9166666666666666;66.0;66.0
direct-l;2018-05-21 11:44:47.769241;4175.190729141235;1;11;0.425;0.8;0.275;0.9166666666666666;63.0;66.0
direct-l;2018-05-21 11:51:16.994043;4564.415531635284;1;12;0.275;0.6;0.275;0.9166666666666666;71.0;71.0
direct-l;2018-05-21 11:57:43.481930;4950.903418064117;1;13;0.275;1.0;0.275;0.9166666666666666;69.0;71.0
direct-l;2018-05-21 12:04:04.766801;5332.188289165497;1;14;0.275;0.8;0.125;0.9166666666666666;52.0;71.0
direct-l;2018-05-21 12:10:40.519505;5727.94099354744;1;15;0.275;0.8;0.425;0.9166666666666666;70.0;71.0
direct-l;2018-05-21 12:17:27.554453;6134.97594165802;1;16;0.125;0.6;0.275;0.9166666666666666;74.0;74.0
direct-l;2018-05-21 12:23:56.041953;6523.463441371918;1;17;0.425;0.6;0.275;0.9166666666666666;63.0;74.0
direct-l;2018-05-21 12:30:38.203063;6925.624551296234;1;18;0.275;0.6;0.125;0.9166666666666666;75.0;75.0
direct-l;2018-05-21 12:37:33.549784;7340.9712727069855;1;19;0.275;0.6;0.425;0.9166666666666666;72.0;75.0
direct-l;2018-05-21 12:44:23.709120;7751.130608558655;1;20;0.125;0.6;0.125;0.9166666666666666;66.0;75.0
direct-l;2018-05-21 12:51:02.151712;8149.573200464249;1;21;0.425;0.6;0.125;0.9166666666666666;70.0;75.0
direct-l;2018-05-21 12:57:44.137356;8551.558844566345;1;22;0.22500000000000003;0.6;0.125;0.9166666666666666;72.0;75.0
direct-l;2018-05-21 13:04:10.655917;8938.07740521431;1;23;0.325;0.6;0.125;0.9166666666666666;67.0;75.0
direct-l;2018-05-21 13:10:54.146317;9341.56780552864;1;24;0.275;0.5333333333333333;0.125;0.9166666666666666;75.0;75.0
direct-l;2018-05-21 13:17:40.071786;9747.493273973465;1;25;0.275;0.6666666666666667;0.125;0.9166666666666666;76.0;76.0
direct-l;2018-05-21 13:24:08.246260;10135.667748451233;1;26;0.275;0.6;0.07500000000000001;0.9166666666666666;64.0;76.0
direct-l;2018-05-21 13:30:39.329426;10526.75091457367;1;27;0.275;0.6;0.175;0.9166666666666666;66.0;76.0
direct-l;2018-05-21 13:37:06.739225;10914.160712957382;1;28;0.275;0.6;0.125;0.7944444444444444;71.0;76.0
direct-l;2018-05-21 13:43:56.773972;11324.195460557938;1;29;0.275;0.6;0.125;1.038888888888889;76.0;76.0
direct-l;2018-05-21 13:50:50.703481;11738.124969244003;1;30;0.125;0.6;0.425;0.9166666666666666;75.0;76.0
direct-l;2018-05-21 13:57:19.035378;12126.456866502762;1;31;0.425;0.6;0.425;0.9166666666666666;63.0;76.0
direct-l;2018-05-21 14:03:51.914044;12519.335532188416;1;32;0.22500000000000003;0.6666666666666667;0.125;0.9166666666666666;67.0;76.0
direct-l;2018-05-21 14:10:27.779269;12915.20075750351;1;33;0.325;0.6666666666666667;0.125;0.9166666666666666;71.0;76.0
direct-l;2018-05-21 14:16:51.719350;13299.140838623047;1;34;0.275;0.6666666666666667;0.07500000000000001;0.9166666666666666;62.0;76.0
direct-l;2018-05-21 14:23:13.597865;13681.01935338974;1;35;0.275;0.6666666666666667;0.175;0.9166666666666666;67.0;76.0
direct-l;2018-05-21 14:29:55.209904;14082.631392002106;1;36;0.275;0.6666666666666667;0.125;0.7944444444444444;71.0;76.0
direct-l;2018-05-21 14:36:35.355034;14482.776522397995;1;37;0.275;0.6666666666666667;0.125;1.038888888888889;74.0;76.0
direct-l;2018-05-21 14:43:02.624228;14870.045715808868;1;38;0.125;0.8;0.425;0.9166666666666666;66.0;76.0
direct-l;2018-05-21 14:49:30.189999;15257.611486911774;1;39;0.425;0.8;0.425;0.9166666666666666;63.0;76.0
direct-l;2018-05-21 14:56:14.321250;15661.742738723755;1;40;0.25833333333333336;0.6666666666666667;0.125;0.9166666666666666;73.0;76.0
direct-l;2018-05-21 15:02:58.355141;16065.776629447937;1;41;0.29166666666666663;0.6666666666666667;0.125;0.9166666666666666;70.0;76.0
direct-l;2018-05-21 15:09:36.108726;16463.530213832855;1;42;0.275;0.6444444444444445;0.125;0.9166666666666666;72.0;76.0
direct-l;2018-05-21 15:16:16.706847;16864.12833571434;1;43;0.275;0.6888888888888889;0.125;0.9166666666666666;75.0;76.0
direct-l;2018-05-21 15:22:54.803446;17262.224933862686;1;44;0.275;0.6666666666666667;0.10833333333333334;0.9166666666666666;67.0;76.0
direct-l;2018-05-21 15:29:40.760399;17668.181887626648;1;45;0.275;0.6666666666666667;0.14166666666666666;0.9166666666666666;76.0;76.0
direct-l;2018-05-21 15:36:24.593046;18072.014534235;1;46;0.275;0.6666666666666667;0.125;0.875925925925926;75.0;76.0
direct-l;2018-05-21 15:43:11.158507;18478.57999563217;1;47;0.275;0.6666666666666667;0.125;0.9574074074074074;76.0;76.0
direct-l;2018-05-21 15:49:51.036027;18878.457515001297;1;48;0.22500000000000003;0.6;0.125;1.038888888888889;76.0;76.0
direct-l;2018-05-21 15:56:22.479114;19269.9006023407;1;49;0.325;0.6;0.125;1.038888888888889;67.0;76.0
direct-l;2018-05-21 16:03:06.873291;19674.294778823853;1;50;0.275;0.6;0.07500000000000001;1.038888888888889;78.0;78.0
direct-l;2018-05-21 16:09:39.611091;20067.032579421997;1;51;0.275;0.6;0.175;1.038888888888889;70.0;78.0
direct-l;2018-05-21 16:16:12.413957;20459.83544564247;1;52;0.125;1.0;0.275;0.9166666666666666;69.0;78.0
direct-l;2018-05-21 16:22:18.964396;20826.385883808136;1;53;0.425;1.0;0.275;0.9166666666666666;50.0;78.0
direct-l;2018-05-21 16:28:34.889805;21202.311292886734;1;54;0.275;1.0;0.125;0.9166666666666666;56.99999999999999;78.0
direct-l;2018-05-21 16:34:39.378001;21566.79948925972;1;55;0.275;1.0;0.425;0.9166666666666666;55.00000000000001;78.0
direct-l;2018-05-21 16:41:19.726426;21967.147914409637;1;56;0.22500000000000003;0.6;0.07500000000000001;1.038888888888889;76.0;78.0
direct-l;2018-05-21 16:48:03.713840;22371.135328292847;1;57;0.325;0.6;0.07500000000000001;1.038888888888889;79.0;79.0
direct-l;2018-05-21 16:54:27.216647;22754.638135433197;1;58;0.125;1.0;0.125;0.9166666666666666;62.0;79.0
direct-l;2018-05-21 17:00:44.393341;23131.814829826355;1;59;0.125;1.0;0.425;0.9166666666666666;62.0;79.0
direct-l;2018-05-21 17:07:26.459294;23533.8807823658;1;60;0.3083333333333334;0.6;0.07500000000000001;1.038888888888889;79.0;79.0
direct-l;2018-05-21 17:14:05.791167;23933.212655067444;1;61;0.3416666666666667;0.6;0.07500000000000001;1.038888888888889;78.0;79.0
direct-l;2018-05-21 17:20:44.764636;24332.186124801636;1;62;0.325;0.5777777777777778;0.07500000000000001;1.038888888888889;65.0;79.0
direct-l;2018-05-21 17:27:29.330596;24736.75208425522;1;63;0.325;0.6222222222222222;0.07500000000000001;1.038888888888889;75.0;79.0
direct-l;2018-05-21 17:34:02.228211;25129.64969921112;1;64;0.325;0.6;0.05833333333333335;1.038888888888889;72.0;79.0
direct-l;2018-05-21 17:40:49.466086;25536.887573957443;1;65;0.325;0.6;0.09166666666666667;1.038888888888889;78.0;79.0
