Algorithm,Timestamp,Elapsed Time,Curr Run,Curr Eval,min-c,max-c,d-c,max-d-stripes,sUDI
DIRECT-L,2019-03-18 21:34:50.300539,282.9488127231598,2,1,0.275,0.8,0.275,0.55,56.99999999999999
DIRECT-L,2019-03-18 21:39:43.083515,575.7317888736725,2,2,0.125,0.8,0.275,0.55,59.0
DIRECT-L,2019-03-18 21:44:34.958589,867.6068630218506,2,3,0.425,0.8,0.275,0.55,56.99999999999999
DIRECT-L,2019-03-18 21:49:22.455403,1155.103677034378,2,4,0.275,0.6,0.275,0.55,54.0
DIRECT-L,2019-03-18 21:54:21.895828,1454.5441019535065,2,5,0.275,1.0,0.275,0.55,56.00000000000001
DIRECT-L,2019-03-18 21:59:12.990245,1745.6385185718536,2,6,0.275,0.8,0.125,0.55,62.0
DIRECT-L,2019-03-18 22:04:05.559203,2038.2074763774872,2,7,0.275,0.8,0.425,0.55,64.0
DIRECT-L,2019-03-18 22:08:35.867336,2308.5156095027924,2,8,0.275,0.8,0.275,0.18333333333333338,36.0
DIRECT-L,2019-03-18 22:13:33.223070,2605.8713438510895,2,9,0.275,0.8,0.275,0.9166666666666666,66.0
DIRECT-L,2019-03-18 22:18:28.354654,2901.00292801857,2,10,0.125,0.8,0.275,0.9166666666666666,66.0
DIRECT-L,2019-03-18 22:23:22.299897,3194.948170900345,2,11,0.425,0.8,0.275,0.9166666666666666,63.0
DIRECT-L,2019-03-18 22:28:13.300444,3485.9487175941467,2,12,0.275,0.6,0.275,0.9166666666666666,71.0
DIRECT-L,2019-03-18 22:32:57.862476,3770.5107498168945,2,13,0.275,1.0,0.275,0.9166666666666666,69.0
DIRECT-L,2019-03-18 22:37:39.847215,4052.4954891204834,2,14,0.275,0.8,0.125,0.9166666666666666,52.0
DIRECT-L,2019-03-18 22:42:31.100184,4343.748458147049,2,15,0.275,0.8,0.425,0.9166666666666666,70.0
DIRECT-L,2019-03-18 22:47:31.610713,4644.258986234665,2,16,0.125,0.6,0.275,0.9166666666666666,74.0
DIRECT-L,2019-03-18 22:52:17.630629,4930.278902769089,2,17,0.425,0.6,0.275,0.9166666666666666,63.0
DIRECT-L,2019-03-18 22:57:13.375579,5226.023852586746,2,18,0.275,0.6,0.125,0.9166666666666666,75.0
DIRECT-L,2019-03-18 23:02:19.768693,5532.416966676712,2,19,0.275,0.6,0.425,0.9166666666666666,72.0
DIRECT-L,2019-03-18 23:07:22.046802,5834.695075511932,2,20,0.125,0.6,0.125,0.9166666666666666,66.0
DIRECT-L,2019-03-18 23:12:15.283332,6127.931605815887,2,21,0.425,0.6,0.125,0.9166666666666666,70.0
DIRECT-L,2019-03-18 23:17:11.278818,6423.927091598511,2,22,0.22500000000000003,0.6,0.125,0.9166666666666666,72.0
DIRECT-L,2019-03-18 23:21:56.258715,6708.906988143921,2,23,0.325,0.6,0.125,0.9166666666666666,67.0
DIRECT-L,2019-03-18 23:26:53.550742,7006.199015855789,2,24,0.275,0.5333333333333333,0.125,0.9166666666666666,75.0
DIRECT-L,2019-03-18 23:31:53.224151,7305.8724246025085,2,25,0.275,0.6666666666666667,0.125,0.9166666666666666,76.0
DIRECT-L,2019-03-18 23:36:39.625899,7592.274172544479,2,26,0.275,0.6,0.07500000000000001,0.9166666666666666,64.0
DIRECT-L,2019-03-18 23:41:29.604123,7882.252396821976,2,27,0.275,0.6,0.175,0.9166666666666666,66.0
DIRECT-L,2019-03-18 23:46:14.059761,8166.708034753799,2,28,0.275,0.6,0.125,0.7944444444444444,71.0
DIRECT-L,2019-03-18 23:51:15.553719,8468.201992988586,2,29,0.275,0.6,0.125,1.038888888888889,76.0
DIRECT-L,2019-03-18 23:56:19.522741,8772.171014547348,2,30,0.125,0.6,0.425,0.9166666666666666,75.0
DIRECT-L,2019-03-19 00:01:05.564598,9058.212871313095,2,31,0.425,0.6,0.425,0.9166666666666666,63.0
DIRECT-L,2019-03-19 00:05:55.685311,9348.333584547043,2,32,0.22500000000000003,0.6666666666666667,0.125,0.9166666666666666,67.0
DIRECT-L,2019-03-19 00:10:48.219752,9640.868025064468,2,33,0.325,0.6666666666666667,0.125,0.9166666666666666,71.0
DIRECT-L,2019-03-19 00:15:32.055268,9924.70354127884,2,34,0.275,0.6666666666666667,0.07500000000000001,0.9166666666666666,62.0
DIRECT-L,2019-03-19 00:20:13.944920,10206.593193292618,2,35,0.275,0.6666666666666667,0.175,0.9166666666666666,67.0
DIRECT-L,2019-03-19 00:25:10.033491,10502.681764364243,2,36,0.275,0.6666666666666667,0.125,0.7944444444444444,71.0
DIRECT-L,2019-03-19 00:30:05.377116,10798.025389432907,2,37,0.275,0.6666666666666667,0.125,1.038888888888889,74.0
DIRECT-L,2019-03-19 00:34:51.789846,11084.438120126724,2,38,0.125,0.8,0.425,0.9166666666666666,66.0
DIRECT-L,2019-03-19 00:39:38.074085,11370.72235918045,2,39,0.425,0.8,0.425,0.9166666666666666,63.0
DIRECT-L,2019-03-19 00:44:35.154466,11667.802739858627,2,40,0.25833333333333336,0.6666666666666667,0.125,0.9166666666666666,73.0
DIRECT-L,2019-03-19 00:49:31.619908,11964.26818203926,2,41,0.29166666666666663,0.6666666666666667,0.125,0.9166666666666666,70.0
DIRECT-L,2019-03-19 00:54:24.107610,12256.755883455276,2,42,0.275,0.6444444444444445,0.125,0.9166666666666666,72.0
DIRECT-L,2019-03-19 00:59:19.302997,12551.951271057129,2,43,0.275,0.6888888888888889,0.125,0.9166666666666666,75.0
DIRECT-L,2019-03-19 01:04:12.646282,12845.294555664062,2,44,0.275,0.6666666666666667,0.10833333333333334,0.9166666666666666,67.0
DIRECT-L,2019-03-19 01:09:11.662599,13144.310872793198,2,45,0.275,0.6666666666666667,0.14166666666666666,0.9166666666666666,76.0
DIRECT-L,2019-03-19 01:14:09.832114,13442.480387449265,2,46,0.275,0.6666666666666667,0.125,0.875925925925926,75.0
DIRECT-L,2019-03-19 01:19:09.956870,13742.605144023895,2,47,0.275,0.6666666666666667,0.125,0.9574074074074074,76.0
DIRECT-L,2019-03-19 01:24:04.409932,14037.05820608139,2,48,0.22500000000000003,0.6,0.125,1.038888888888889,76.0
DIRECT-L,2019-03-19 01:28:53.094708,14325.742981433868,2,49,0.325,0.6,0.125,1.038888888888889,67.0
DIRECT-L,2019-03-19 01:33:50.475166,14623.123439073563,2,50,0.275,0.6,0.07500000000000001,1.038888888888889,78.0
DIRECT-L,2019-03-19 01:38:40.085767,14912.73404097557,2,51,0.275,0.6,0.175,1.038888888888889,70.0
DIRECT-L,2019-03-19 01:43:29.024618,15201.672892332077,2,52,0.125,1.0,0.275,0.9166666666666666,69.0
DIRECT-L,2019-03-19 01:48:00.174924,15472.823197603226,2,53,0.425,1.0,0.275,0.9166666666666666,50.0
DIRECT-L,2019-03-19 01:52:36.747971,15749.39624452591,2,54,0.275,1.0,0.125,0.9166666666666666,56.99999999999999
DIRECT-L,2019-03-19 01:57:06.603610,16019.251883268356,2,55,0.275,1.0,0.425,0.9166666666666666,55.00000000000001
DIRECT-L,2019-03-19 02:02:00.998642,16313.64691567421,2,56,0.22500000000000003,0.6,0.07500000000000001,1.038888888888889,76.0
DIRECT-L,2019-03-19 02:07:11.021544,16623.669817447662,2,57,0.325,0.6,0.07500000000000001,1.038888888888889,79.0
DIRECT-L,2019-03-19 02:15:59.717198,17152.365471363068,2,58,0.125,1.0,0.125,0.9166666666666666,62.0
DIRECT-L,2019-03-19 02:21:03.924366,17456.572640180588,2,59,0.125,1.0,0.425,0.9166666666666666,62.0
DIRECT-L,2019-03-19 02:25:59.306542,17751.95481610298,2,60,0.3083333333333334,0.6,0.07500000000000001,1.038888888888889,79.0
DIRECT-L,2019-03-19 02:30:53.881016,18046.529289245605,2,61,0.3416666666666667,0.6,0.07500000000000001,1.038888888888889,78.0
DIRECT-L,2019-03-19 02:35:46.693745,18339.34201860428,2,62,0.325,0.5777777777777778,0.07500000000000001,1.038888888888889,65.0
DIRECT-L,2019-03-19 02:40:44.174498,18636.822772026062,2,63,0.325,0.6222222222222222,0.07500000000000001,1.038888888888889,75.0
DIRECT-L,2019-03-19 02:45:34.241938,18926.890211343765,2,64,0.325,0.6,0.05833333333333335,1.038888888888889,72.0
DIRECT-L,2019-03-19 02:50:33.197800,19225.846073627472,2,65,0.325,0.6,0.09166666666666667,1.038888888888889,78.0
