Algorithm;Timestamp;Elapsed Time;Run;Eval;min-c;max-c;d-c;max-d-stripes;Result;Best Result
GP;2018-05-26 18:57:50.622960;353.1623041629791;1;1;0.08461538461538462;1.0076923076923077;0.22307692307692312;0.42307692307692313;38.0;38.0
GP;2018-05-26 19:05:46.779961;829.3193054199219;1;2;0.11923076923076924;0.5923076923076923;0.5;1.0153846153846156;93.0;93.0
GP;2018-05-26 19:11:56.126779;1198.6661233901978;1;3;0.15384615384615385;0.9615384615384617;0.15384615384615385;0.2538461538461539;47.0;93.0
GP;2018-05-26 19:18:44.736798;1607.2761421203613;1;4;0.18846153846153846;0.776923076923077;0.4653846153846154;1.1;73.0;93.0
GP;2018-05-26 19:25:11.224033;1993.7633774280548;1;5;0.22307692307692312;1.1;0.3961538461538462;0.8461538461538463;66.0;93.0
GP;2018-05-26 19:31:38.041864;2380.5812084674835;1;6;0.2576923076923077;0.9153846153846155;0.3269230769230769;0.676923076923077;64.0;93.0
GP;2018-05-26 19:37:54.029135;2756.5684792995453;1;7;0.2923076923076923;0.823076923076923;0.2923076923076923;0.5923076923076923;62.0;93.0
GP;2018-05-26 19:44:10.361090;3132.9004342556;1;8;0.3269230769230769;0.7307692307692308;0.2576923076923077;0.5076923076923078;53.0;93.0
GP;2018-05-26 19:50:17.176787;3499.7161309719086;1;9;0.36153846153846153;0.5461538461538462;0.18846153846153846;0.3384615384615385;42.0;93.0
GP;2018-05-26 19:56:08.476947;3851.01629114151;1;10;0.3961538461538462;0.8692307692307693;0.11923076923076924;0.08461538461538462;30.0;93.0
GP;2018-05-26 20:02:38.729887;4241.26923084259;1;11;0.43076923076923074;0.6846153846153846;0.43076923076923074;0.9307692307692308;68.0;93.0
GP;2018-05-26 20:08:23.497749;4586.037092924118;1;12;0.4653846153846154;1.053846153846154;0.08461538461538462;0.16923076923076924;34.0;93.0
GP;2018-05-26 20:14:48.187382;4970.726726293564;1;13;0.5;0.6384615384615385;0.36153846153846153;0.7615384615384616;62.0;93.0
GP;2018-05-26 20:22:58.690909;5461.230252742767;1;14;0.06887778767069941;0.5307516729220492;0.48363445261051435;0.45524454750280974;90.0;93.0
GP;2018-05-26 20:29:43.146253;5865.68559718132;1;15;0.10036876975424701;0.5452680157866493;0.2024336059666424;0.7643229855036618;67.0;93.0
GP;2018-05-26 20:37:04.601548;6307.14089179039;1;16;0.05201666114317911;0.5202196767541053;0.4461039954482803;1.0984883023067251;86.0;93.0
GP;2018-05-26 20:44:15.088094;6737.62743806839;1;17;0.05430402554890981;0.5274983834194833;0.45614294877097905;0.7663773173876124;83.0;93.0
GP;2018-05-26 20:50:49.512656;7132.0520005226135;1;18;0.0685122154135678;0.7438369130588848;0.4925493162674732;0.31027670789103534;56.99999999999999;93.0
