Algorithm;Timestamp;Elapsed Time;Run;Eval;min-c;max-c;d-c;max-d-stripes;Result;Best Result
latin-hypercube;2018-05-22 01:09:10.686521;331.06596159935;1;1;0.05525330900474787;0.500044530109249;0.054341644399493925;0.010460489844327354;7.000000000000001;7.000000000000001
latin-hypercube;2018-05-22 01:15:05.018091;685.3975312709808;1;2;0.06067033696928444;0.512272699843693;0.061263085820856295;0.02810005761716383;18.0;18.0
latin-hypercube;2018-05-22 01:20:45.364366;1025.7438066005707;1;3;0.06545302435003013;0.5233405211754856;0.06423631540468916;0.038997141951297096;10.0;18.0
latin-hypercube;2018-05-22 01:26:24.104659;1364.484099149704;1;4;0.07585217942468797;0.5358291168110688;0.07307872839727843;0.05561614931712491;10.0;18.0
latin-hypercube;2018-05-22 01:32:09.124566;1709.5040066242218;1;5;0.07983236735581678;0.541000453208189;0.08434724865251494;0.06871914942479171;14.000000000000002;18.0
latin-hypercube;2018-05-22 01:38:00.315647;2060.6950867176056;1;6;0.08623454171457587;0.548775123783146;0.08934873730137126;0.09248999481914794;15.0;18.0
latin-hypercube;2018-05-22 01:43:53.162779;2413.5422189235687;1;7;0.09376637239313405;0.5643625378775909;0.0952398425553882;0.10783088486326398;18.0;18.0
latin-hypercube;2018-05-22 01:49:45.947549;2766.3269894123077;1;8;0.10524067340873795;0.5678484721063388;0.10380193691134328;0.13133315908274842;23.0;23.0
latin-hypercube;2018-05-22 01:55:36.559436;3116.93887591362;1;9;0.1073253216171624;0.5773179159015719;0.10782709348910474;0.14428997312269617;19.0;23.0
latin-hypercube;2018-05-22 02:01:22.908201;3463.2876415252686;1;10;0.11249911565603554;0.5874321093493786;0.11702543254908297;0.15688757549130097;21.0;23.0
latin-hypercube;2018-05-22 02:07:09.895293;3810.2747328281403;1;11;0.12334729282500885;0.5969320942815092;0.11962652701274762;0.17942941824611927;19.0;23.0
latin-hypercube;2018-05-22 02:13:05.539339;4165.918779373169;1;12;0.12947172546997449;0.6100755589713256;0.12814655622530016;0.19761000214245547;27.0;27.0
latin-hypercube;2018-05-22 02:19:06.245851;4526.625291109085;1;13;0.13855290147092028;0.6180106905603279;0.1336245036453195;0.20575365250643254;34.0;34.0
latin-hypercube;2018-05-22 02:25:10.202615;4890.582055091858;1;14;0.1442607605475405;0.6240151621438126;0.14412318717137163;0.2301009772375907;28.000000000000004;34.0
latin-hypercube;2018-05-22 02:31:08.721816;5249.101256132126;1;15;0.14986908653294753;0.6355886206981316;0.14900334800959886;0.2513676400291348;32.0;34.0
latin-hypercube;2018-05-22 02:37:28.900205;5629.279645681381;1;16;0.15413670689838396;0.6422280381063503;0.15877353829262378;0.2691310134972905;49.0;49.0
latin-hypercube;2018-05-22 02:43:46.357183;6006.736622810364;1;17;0.16291907846388007;0.6481568036434063;0.16209365096650558;0.2719565015722791;43.0;49.0
latin-hypercube;2018-05-22 02:49:52.250645;6372.630085229874;1;18;0.17270935711146024;0.6593057421360826;0.16949085676155606;0.2990018178586997;43.0;49.0
latin-hypercube;2018-05-22 02:55:59.535328;6739.914768457413;1;19;0.1804565828421963;0.6743151195445574;0.17753118981987495;0.31962043745490815;44.0;49.0
latin-hypercube;2018-05-22 03:02:06.774039;7107.153479099274;1;20;0.18402545512646332;0.6809550009844072;0.18738876423667078;0.3294417905968126;35.0;49.0
latin-hypercube;2018-05-22 03:08:14.948666;7475.328106403351;1;21;0.19156188258582577;0.6891872894805766;0.19197316103067225;0.34468891605032975;37.0;49.0
latin-hypercube;2018-05-22 03:14:21.889652;7842.269092559814;1;22;0.20163870893699398;0.6946767586101952;0.1999957206737855;0.36704825611920233;48.0;49.0
latin-hypercube;2018-05-22 03:20:32.377665;8212.757104873657;1;23;0.2057726271955525;0.7040765583121662;0.20375769831963522;0.37423456633076924;44.0;49.0
latin-hypercube;2018-05-22 03:26:48.210784;8588.590223789215;1;24;0.20999319730400162;0.717135425471806;0.21443185977175164;0.39525909066065285;51.0;51.0
latin-hypercube;2018-05-22 03:32:55.401139;8955.780579566956;1;25;0.22165695555539972;0.7254495792976734;0.22206882827653557;0.4167094252545279;51.0;51.0
