Algorithm;Timestamp;Elapsed Time;Run;Eval;min-c;max-c;d-c;max-d-stripes;Result;Best Result
nelder-mead;2018-05-20 15:06:17.600338;355.05351305007935;1;1;0.24797259224762014;0.5702431411346505;0.2120847231026795;0.24890243769251127;30.0;30.0
nelder-mead;2018-05-20 15:12:16.728105;714.181280374527;1;2;0.3604725922476201;0.5702431411346505;0.2120847231026795;0.24890243769251127;31.0;31.0
nelder-mead;2018-05-20 15:18:06.559422;1064.0125966072083;1;3;0.3604725922476201;0.6229254969856384;0.2120847231026795;0.24890243769251127;30.0;31.0
nelder-mead;2018-05-20 15:24:05.530606;1422.9837806224823;1;4;0.3604725922476201;0.5702431411346505;0.3245847231026795;0.24890243769251127;31.0;31.0
nelder-mead;2018-05-20 15:30:11.205977;1788.6591515541077;1;5;0.3604725922476201;0.5702431411346505;0.3245847231026795;0.4355792659618947;38.0;38.0
nelder-mead;2018-05-20 15:36:27.101783;2164.55495762825;1;6;0.3042225922476202;0.5175607852836626;0.32458472310267944;0.342240851827203;41.0;41.0
nelder-mead;2018-05-20 15:42:54.620870;2552.0740451812744;1;7;0.27609759224762026;0.5;0.3808347231026794;0.3889100588945489;56.00000000000001;56.00000000000001
nelder-mead;2018-05-20 15:48:50.310768;2907.7639424800873;1;8;0.4307850922476202;0.5351215705673253;0.4089597231026794;0.4122446624282218;36.0;56.00000000000001
nelder-mead;2018-05-20 15:55:02.189341;3279.642515897751;1;9;0.3534413422476203;0.5175607852836628;0.3386472231026795;0.49391577479607707;43.0;56.00000000000001
nelder-mead;2018-05-20 16:01:26.850347;3664.3035221099854;1;10;0.3499257172476204;0.5;0.5;0.6164224433478599;48.0;56.00000000000001
nelder-mead;2018-05-20 16:08:13.322091;4070.7752661705017;1;11;0.23918352974762036;0.5087803926418313;0.3630736115513398;0.5551691090719684;62.0;62.0
nelder-mead;2018-05-20 16:14:51.902850;4469.3560247421265;1;12;0.14338274849762045;0.5;0.34013055577567003;0.6266313323938417;62.0;62.0
nelder-mead;2018-05-20 16:21:40.829769;4878.2829439640045;1;13;0.24885149849762062;0.5;0.4666930557756699;0.5916294270933324;69.0;69.0
nelder-mead;2018-05-20 16:28:45.489393;5302.942567586899;1;14;0.19304095162262086;0.5;0.5;0.6696545076590512;79.0;79.0
nelder-mead;2018-05-20 16:36:02.539506;5739.992681264877;1;15;0.17568255318512066;0.5;0.5;0.6211622846906372;82.0;82.0
nelder-mead;2018-05-20 16:44:01.607693;6219.060868263245;1;16;0.08680315865387084;0.5;0.5;0.6847855396379172;94.0;94.0
nelder-mead;2018-05-20 16:50:52.876131;6630.329306125641;1;17;0.05;0.5043901963209156;0.3719541673270096;0.5328371642838831;73.0;94.0
nelder-mead;2018-05-20 16:59:17.396981;7134.850155353546;1;18;0.05;0.5065852944813733;0.48667916633649533;0.832313101431861;99.0;99.0
nelder-mead;2018-05-20 17:07:47.716053;7645.169228076935;1;19;0.05;0.50987794172206;0.5;1.054014622700517;99.0;99.0
nelder-mead;2018-05-20 17:16:10.032023;8147.485198259354;1;20;0.05;0.5;0.5;0.8046260474343878;99.0;99.0
nelder-mead;2018-05-20 17:23:51.177935;8608.63110947609;1;21;0.13992205513824585;0.5;0.5;0.9628524337977257;93.0;99.0
nelder-mead;2018-05-20 17:32:13.745722;9111.1988966465;1;22;0.05;0.5032926472406867;0.49333958316824766;0.9726340534918947;98.0;99.0
nelder-mead;2018-05-20 17:40:35.983776;9613.436950922012;1;23;0.05;0.5049389708610299;0.4900093747523715;0.6843269372003048;98.0;99.0
nelder-mead;2018-05-20 17:49:05.162158;10122.615332365036;1;24;0.05;0.5074084562915449;0.48501406212855724;0.9621645301413069;98.0;99.0
nelder-mead;2018-05-20 17:57:26.494142;10623.947316646576;1;25;0.05;0.5055563422186586;0.48876054659641793;0.8928197825154595;96.0;99.0
