Algorithm;Timestamp;Elapsed Time;Run;Eval;min-c;max-c;d-c;max-d-stripes;Result;Best Result
RBF;2019-03-18 09:20:18.096170;314.87202548980713;2;1;0.1;0.6333333333333333;0.4;0.9777777777777779;79.0;79.0
RBF;2019-03-18 09:25:00.332311;597.1081669330597;2;2;0.15;0.9;0.1;0.7333333333333334;64.0;79.0
RBF;2019-03-18 09:29:19.923255;856.6991105079651;2;3;0.2;0.5666666666666667;0.35;0.12222222222222223;27.0;79.0
RBF;2019-03-18 09:33:46.656546;1123.4324016571045;2;4;0.25;0.7;0.15;0.3666666666666667;31.0;79.0
RBF;2019-03-18 09:38:25.925127;1402.700983285904;2;5;0.3;0.8333333333333334;0.3;0.6111111111111112;57.99999999999999;79.0
RBF;2019-03-18 09:43:11.990040;1688.765896320343;2;6;0.35;0.9666666666666668;0.44999999999999996;0.8555555555555556;63.0;79.0
RBF;2019-03-18 09:47:43.386745;1960.162600517273;2;7;0.4;1.1;0.25;1.1;50.0;79.0
RBF;2019-03-18 09:52:14.426507;2231.202362537384;2;8;0.44999999999999996;0.7666666666666667;0.5;0.48888888888888893;42.0;79.0
RBF;2019-03-18 09:56:33.882955;2490.6588106155396;2;9;0.5;1.0333333333333334;0.2;0.24444444444444446;37.0;79.0
RBF;2019-03-18 10:01:27.798603;2784.5744590759277;2;10;0.057562642677512;0.9162872244885636;0.34094730989297095;1.0837327671124908;78.0;79.0
RBF;2019-03-18 10:06:10.369414;3067.145269870758;2;11;0.09635396284522998;0.8794191820395307;0.45403615724371915;0.7389203081905539;57.99999999999999;79.0
RBF;2019-03-18 10:11:32.209803;3388.9856593608856;2;12;0.08087127578838689;0.5016068467975702;0.3294040778744841;1.0968300739643717;88.0;88.0
RBF;2019-03-18 10:16:19.377573;3676.153428554535;2;13;0.1357052670040098;0.7247547865873349;0.10315074926810491;1.0122740282382794;70.0;88.0
RBF;2019-03-18 10:21:21.214619;3977.9904754161835;2;14;0.3789681340380748;0.5197642583625173;0.482787389701693;1.002366458435609;70.0;88.0
RBF;2019-03-18 10:27:26.250293;4343.0261490345;2;15;0.0707638971644591;0.5307493164615628;0.47648310708619535;1.0789640047410696;98.0;98.0
RBF;2019-03-18 10:33:19.714234;4696.49009013176;2;16;0.10770487647473538;0.540714089866343;0.49841739982023847;1.0895357835086785;95.0;98.0
RBF;2019-03-18 10:38:20.888504;4997.664360046387;2;17;0.09808670541412234;0.5503031873638132;0.4446107687740989;0.6045549749318486;73.0;98.0
RBF;2019-03-18 10:43:41.398786;5318.1746418476105;2;18;0.20062619128748466;0.5018120022303298;0.4925084991124091;0.8150959162528251;81.0;98.0
RBF;2019-03-18 10:49:51.394451;5688.170306444168;2;19;0.05591571286318396;0.50708826932325;0.4948561423238098;0.8775941655701067;100.0;100.0
RBF;2019-03-18 10:56:01.422258;6058.198113918304;2;20;0.06279478878019015;0.502014677537327;0.4794545850854438;1.0489860710313297;98.0;100.0
RBF;2019-03-18 11:01:14.505547;6371.281403303146;2;21;0.27889863544147;0.5337894263447113;0.25794790728363126;0.9265958995697103;76.0;100.0
RBF;2019-03-18 11:06:36.398190;6693.174046278;2;22;0.08296927221148072;0.5155311706080077;0.31794857292468925;0.7527172584563627;76.0;100.0
RBF;2019-03-18 11:12:54.096623;7070.872479200363;2;23;0.059059166693637005;0.5189560418993543;0.48718312394295865;0.9466488164383673;99.0;100.0
