Algorithm;Timestamp;Elapsed Time;Run;Eval;min-c;max-c;d-c;max-d-stripes;Result;Best Result
subplex;2018-05-20 07:35:06.293169;410.9880738258362;1;1;0.3443155061595207;0.6466446308477136;0.42164070655734;1.0607868789216264;76.0;76.0
subplex;2018-05-20 07:41:37.766381;802.4612855911255;1;2;0.4568155061595207;0.6466446308477136;0.42164070655734;1.0607868789216264;74.0;76.0
subplex;2018-05-20 07:48:26.831803;1211.5267081260681;1;3;0.3443155061595207;0.7566281039834988;0.42164070655734;1.0607868789216264;76.0;76.0
subplex;2018-05-20 07:55:02.192423;1606.887327671051;1;4;0.23181550615952073;0.7566281039834988;0.42164070655734;1.0607868789216264;70.0;76.0
subplex;2018-05-20 08:01:44.041893;2008.7367973327637;1;5;0.4005655061595207;0.67414049913166;0.42164070655734;1.0607868789216264;70.0;76.0
subplex;2018-05-20 08:08:25.576073;2410.2709772586823;1;6;0.4005655061595207;0.6466446308477136;0.42164070655734;1.0607868789216264;70.0;76.0
subplex;2018-05-20 08:15:16.439011;2821.1339156627655;1;7;0.3443155061595207;0.7016363674156062;0.42164070655734;1.0607868789216264;76.0;76.0
subplex;2018-05-20 08:22:20.912932;3245.607836961746;1;8;0.28806550615952076;0.7016363674156063;0.42164070655734;1.0607868789216264;80.0;80.0
subplex;2018-05-20 08:28:59.369570;3644.0644743442535;1;9;0.2318155061595208;0.7291322356995527;0.42164070655734;1.0607868789216264;72.0;80.0
subplex;2018-05-20 08:36:05.998239;4070.693144083023;1;10;0.2880655061595207;0.6466446308477137;0.42164070655734;1.0607868789216264;80.0;80.0
subplex;2018-05-20 08:42:47.285282;4471.980186462402;1;11;0.2318155061595208;0.7016363674156063;0.42164070655734;1.0607868789216264;76.0;80.0
subplex;2018-05-20 08:49:40.225446;4884.920351028442;1;12;0.3161905061595207;0.6603925649896868;0.42164070655734;1.0607868789216264;79.0;80.0
subplex;2018-05-20 08:56:17.309671;5282.00457572937;1;13;0.2599405061595208;0.6878884332736331;0.42164070655734;1.0607868789216264;72.0;80.0
subplex;2018-05-20 09:03:17.250459;5701.945363521576;1;14;0.30212800615952073;0.6672665320606734;0.42164070655734;1.0607868789216264;78.0;80.0
subplex;2018-05-20 09:10:16.503487;6121.198392391205;1;15;0.30212800615952073;0.6810144662026465;0.42164070655734;1.0607868789216264;78.0;80.0
subplex;2018-05-20 09:17:21.477852;6546.1727566719055;1;16;0.28806550615952076;0.67414049913166;0.42164070655734;1.0607868789216264;80.0;80.0
