Algorithm,Timestamp,Elapsed Time,Curr Run,Curr Eval,min-c,max-c,d-c,max-d-stripes,sUDI
BOBYQA,2019-03-24 08:09:01.693331,242.45377135276794,2,1,0.055253309,0.50004453,0.054341644,0.01046049,7.000000000000001
BOBYQA,2019-03-24 08:13:09.951342,490.71178245544434,2,2,0.05919329075,0.50004453,0.054341644,0.01046049,8.0
BOBYQA,2019-03-24 08:17:13.199757,733.960197687149,2,3,0.055253309,0.5000779275,0.054341644,0.01046049,7.000000000000001
BOBYQA,2019-03-24 08:21:15.427528,976.1879689693451,2,4,0.055253309,0.50004453,0.057597877000000006,0.01046049,7.000000000000001
BOBYQA,2019-03-24 08:25:28.289226,1229.0496661663055,2,5,0.055253309,0.50004453,0.054341644,0.018305857499999998,8.0
BOBYQA,2019-03-24 08:29:30.707393,1471.4678330421448,2,6,0.05131332725,0.50004453,0.054341644,0.01046049,7.000000000000001
BOBYQA,2019-03-24 08:33:34.395366,1715.1558067798615,2,7,0.055253309,0.5000111325,0.054341644,0.01046049,7.000000000000001
BOBYQA,2019-03-24 08:37:41.664079,1962.4245200157166,2,8,0.055253309,0.50004453,0.051085411000000004,0.01046049,8.0
BOBYQA,2019-03-24 08:41:43.316150,2204.076590538025,2,9,0.055253309,0.50004453,0.054341644,0.002615122500000001,6.0
BOBYQA,2019-03-24 08:45:53.712509,2454.4729492664337,2,10,0.06266547258162351,0.50004453,0.05338510546932171,0.013365110926253695,7.000000000000001
BOBYQA,2019-03-24 08:50:02.784393,2703.544833421707,2,11,0.06000660331868733,0.50004453,0.05578671177313535,0.009658752987153367,10.0
BOBYQA,2019-03-24 08:54:13.275446,2954.035886526108,2,12,0.06236611387327965,0.50004453,0.05831171648841315,0.008088510443051764,8.0
BOBYQA,2019-03-24 08:58:21.294863,3202.055303812027,2,13,0.0595312738868186,0.50004453,0.05531658169582181,0.00973892668843803,8.0
BOBYQA,2019-03-24 09:02:32.234871,3452.9953117370605,2,14,0.06066011445153656,0.50004453,0.05630833464932347,0.01313936312472225,11.0
BOBYQA,2019-03-24 09:06:40.493177,3701.2536177635193,2,15,0.06120079499669022,0.50004453,0.056505003714255805,0.014191787187194474,6.0
