Algorithm;Timestamp;Elapsed Time;Run;Eval;min-c;max-c;d-c;max-d-stripes;Result;Best Result
bobyqa;2018-05-23 01:05:54.308526;422.66176319122314;2;1;0.2959544322036606;0.665023962215735;0.45776060374911276;1.0607868789216266;79.0;79.0
bobyqa;2018-05-23 01:12:37.358456;825.7116935253143;2;2;0.40845443220366057;0.665023962215735;0.45776060374911276;1.0607868789216266;69.0;79.0
bobyqa;2018-05-23 01:19:16.377051;1224.7302882671356;2;3;0.2959544322036606;0.815023962215735;0.45776060374911276;1.0607868789216266;66.0;79.0
bobyqa;2018-05-23 01:26:19.148730;1647.501966714859;2;4;0.2959544322036606;0.665023962215735;0.4894401509372782;1.0607868789216266;79.0;79.0
bobyqa;2018-05-23 01:33:27.933523;2076.286759853363;2;5;0.2959544322036606;0.665023962215735;0.45776060374911276;1.0901967197304068;78.0;79.0
bobyqa;2018-05-23 01:40:22.705090;2491.058327436447;2;6;0.1834544322036606;0.665023962215735;0.45776060374911276;1.0607868789216266;78.0;79.0
bobyqa;2018-05-23 01:47:24.114815;2912.468052148819;2;7;0.2959544322036606;0.515023962215735;0.45776060374911276;1.0607868789216266;79.0;79.0
bobyqa;2018-05-23 01:54:25.913017;3334.2662539482117;2;8;0.2959544322036606;0.665023962215735;0.4260810565609473;1.0607868789216266;79.0;79.0
bobyqa;2018-05-23 02:01:24.464030;3752.8172674179077;2;9;0.2959544322036606;0.665023962215735;0.45776060374911276;1.0313770381128462;80.0;80.0
bobyqa;2018-05-23 02:08:32.827052;4181.180289268494;2;10;0.2530988055847557;0.5908613947544464;0.45776060374911276;1.0083989868825145;81.0;81.0
bobyqa;2018-05-23 02:15:37.910262;4606.26349902153;2;11;0.25942878363380967;0.6035654570459267;0.45776060374911276;1.037656399289509;82.0;82.0
bobyqa;2018-05-23 02:22:47.834875;5036.18811249733;2;12;0.2578086836158314;0.6013278578492194;0.45776060374911276;1.0465267309128492;83.0;83.0
bobyqa;2018-05-23 02:29:53.775531;5462.128768205643;2;13;0.2602211605048648;0.6053562328423557;0.45776060374911276;1.0492885809922659;85.0;85.0
bobyqa;2018-05-23 02:37:03.781753;5892.134989976883;2;14;0.26457501181712867;0.6124677843311923;0.45776060374911276;1.0516144698594967;85.0;85.0
bobyqa;2018-05-23 02:44:19.800480;6328.1537165641785;2;15;0.24986111049780188;0.6011860445099265;0.45776060374911276;1.0484849628829231;80.0;85.0
