Algorithm,Timestamp,Elapsed Time,Curr Run,Curr Eval,min-c,max-c,d-c,max-d-stripes,sUDI
BOBYQA,2019-03-23 20:50:27.376926,304.9167160987854,2,1,0.2959544322036606,0.665023962215735,0.45776060374911276,1.0607868789216266,79.0
BOBYQA,2019-03-23 20:55:19.649926,597.1897165775299,2,2,0.40845443220366057,0.665023962215735,0.45776060374911276,1.0607868789216266,69.0
BOBYQA,2019-03-23 21:00:08.305246,885.8450362682343,2,3,0.2959544322036606,0.815023962215735,0.45776060374911276,1.0607868789216266,66.0
BOBYQA,2019-03-23 21:05:13.727503,1191.2672936916351,2,4,0.2959544322036606,0.665023962215735,0.4894401509372782,1.0607868789216266,79.0
BOBYQA,2019-03-23 21:10:23.865660,1501.4054498672485,2,5,0.2959544322036606,0.665023962215735,0.45776060374911276,1.0901967197304068,78.0
BOBYQA,2019-03-23 21:15:24.476699,1802.0164897441864,2,6,0.1834544322036606,0.665023962215735,0.45776060374911276,1.0607868789216266,78.0
BOBYQA,2019-03-23 21:20:30.259352,2107.79914188385,2,7,0.2959544322036606,0.515023962215735,0.45776060374911276,1.0607868789216266,79.0
BOBYQA,2019-03-23 21:25:35.563830,2413.103620529175,2,8,0.2959544322036606,0.665023962215735,0.4260810565609473,1.0607868789216266,79.0
BOBYQA,2019-03-23 21:30:43.070598,2720.610388278961,2,9,0.2959544322036606,0.665023962215735,0.45776060374911276,1.0313770381128466,79.0
BOBYQA,2019-03-23 21:35:56.933822,3034.4736120700836,2,10,0.2499317049309333,0.5900239622157349,0.45776060374911276,1.0460819585172365,84.0
BOBYQA,2019-03-23 21:41:23.319509,3360.8592994213104,2,11,0.1844351929703693,0.5,0.45776060374911276,1.0048003134589336,89.0
BOBYQA,2019-03-23 21:46:58.623523,3696.1633138656616,2,12,0.13294949814832685,0.5,0.45776060374911276,0.9544061911173657,94.0
BOBYQA,2019-03-23 21:52:58.038078,4055.577868461609,2,13,0.07186473541517235,0.5,0.45776060374911276,0.8843879371999893,96.0
BOBYQA,2019-03-23 21:58:53.737876,4411.2776663303375,2,14,0.07876322322031754,0.5,0.45776060374911276,0.8939729120868826,96.0
BOBYQA,2019-03-23 22:04:43.791755,4761.331544876099,2,15,0.09349657523276209,0.5233672922732141,0.45776060374911276,0.8833443127177728,95.0
