Algorithm,Timestamp,Elapsed Time,Curr Run,Curr Eval,min-c,max-c,d-c,max-d-stripes,sUDI
NMS,2019-03-23 13:04:00.428022,305.9753041267395,2,1,0.2959544322036606,0.665023962215735,0.45776060374911276,1.0607868789216266,79.0
NMS,2019-03-23 13:08:53.136534,598.6838164329529,2,2,0.40845443220366057,0.665023962215735,0.45776060374911276,1.0607868789216266,69.0
NMS,2019-03-23 13:13:42.810654,888.3579361438751,2,3,0.2959544322036606,0.815023962215735,0.45776060374911276,1.0607868789216266,66.0
NMS,2019-03-23 13:18:48.700576,1194.247858285904,2,4,0.2959544322036606,0.665023962215735,0.4894401509372782,1.0607868789216266,79.0
NMS,2019-03-23 13:23:59.161572,1504.7088541984558,2,5,0.2959544322036606,0.665023962215735,0.4894401509372782,1.0901967197304068,78.0
NMS,2019-03-23 13:29:00.078387,1805.6256694793701,2,6,0.3522044322036605,0.515023962215735,0.4894401509372782,1.0754917993260167,78.0
NMS,2019-03-23 13:34:21.197506,2126.7447879314423,2,7,0.21157943220366054,0.590023962215735,0.5,1.0828442595282117,86.0
NMS,2019-03-23 13:40:11.957518,2477.50480055809,2,8,0.11314193220366053,0.5525239622157351,0.5,1.0938729498315043,97.0
NMS,2019-03-23 13:45:25.782327,2791.3296086788177,2,9,0.2326731822036605,0.5337739622157349,0.4788803018745563,1.05527253376998,80.0
NMS,2019-03-23 13:50:31.470848,3097.018129825592,2,10,0.11665755720366061,0.6931489622157351,0.4736003773431955,1.0598678213963517,83.0
NMS,2019-03-23 13:55:42.248804,3407.7960863113403,2,11,0.08325911970366051,0.5572114622157349,0.4656804905461541,1.0741132130381044,79.0
NMS,2019-03-23 14:00:58.696618,3724.2439000606537,2,12,0.24278060407866056,0.638070837215735,0.4835002358394972,1.064118462450746,83.0
NMS,2019-03-23 14:07:04.826412,4090.3736946582794,2,13,0.056672205641160545,0.5437348997157352,0.5,1.075779004802664,99.0
NMS,2019-03-23 14:13:10.838820,4456.386101722717,2,14,0.05,0.5,0.5,1.0832750677431828,98.0
NMS,2019-03-23 14:18:16.690934,4762.238216638565,2,15,0.05,0.6799653684657352,0.49967000471679,1.0915465854706528,83.0
