Algorithm,Timestamp,Elapsed Time,Curr Run,Curr Eval,min-c,max-c,d-c,max-d-stripes,sUDI
COBYLA,2019-03-21 23:13:04.664155,292.25178813934326,2,1,0.157890332485279,0.7767165901347135,0.19231212239641146,0.5784590258211257,66.0
COBYLA,2019-03-21 23:17:40.687103,568.274736404419,2,2,0.23880808184923824,0.7767165901347135,0.19231212239641146,0.5784590258211257,54.0
COBYLA,2019-03-21 23:22:17.131863,844.7194972038269,2,3,0.157890332485279,0.9267165901347135,0.19231212239641146,0.5784590258211257,50.0
COBYLA,2019-03-21 23:26:57.435173,1125.0228071212769,2,4,0.157890332485279,0.7767165901347135,0.3048121223964115,0.5784590258211257,60.0
COBYLA,2019-03-21 23:32:02.784571,1430.37220454216,2,5,0.157890332485279,0.7767165901347135,0.19231212239641146,0.8534590258211256,75.0
COBYLA,2019-03-21 23:37:07.082175,1734.669808626175,2,6,0.11518522990994223,0.6711647108226633,0.16262565633989734,0.9623094013616774,72.0
COBYLA,2019-03-21 23:41:59.803477,2027.3911108970642,2,7,0.19370846759265758,0.7478228701550446,0.18418576365212957,0.8832556745501593,70.0
COBYLA,2019-03-21 23:46:48.866849,2316.454482316971,2,8,0.157890332485279,0.7892462925198308,0.17443969301168796,0.8534590258211256,67.0
COBYLA,2019-03-21 23:51:49.410888,2616.9985222816467,2,9,0.1521272109822073,0.7714256963892799,0.24691490787621947,0.8782255117029117,80.0
COBYLA,2019-03-21 23:56:39.608885,2907.196518421173,2,10,0.14951886911166234,0.7360490560746642,0.25862128698298803,0.7607420415918827,74.0
COBYLA,2019-03-22 00:01:29.462281,3197.049915075302,2,11,0.15103062152957672,0.7523660104497261,0.24330115297774016,0.892721016858223,75.0
COBYLA,2019-03-22 00:06:16.450103,3484.037737131119,2,12,0.1697281916305534,0.8216465143118895,0.2806744243898462,0.8846214396087678,68.0
COBYLA,2019-03-22 00:11:16.853213,3784.4408469200134,2,13,0.133041664196892,0.7834974656754718,0.24914100907618722,0.8781581188785096,76.0
COBYLA,2019-03-22 00:16:17.465530,4085.053164243698,2,14,0.15600121557603172,0.785488165256049,0.2230140302978986,0.8564276637406614,78.0
COBYLA,2019-03-22 00:21:06.503193,4374.090827226639,2,15,0.15200984242629356,0.7659560336612375,0.2504272198970502,0.8464888918567243,76.0
COBYLA,2019-03-22 00:25:51.627893,4659.215526819229,2,16,0.15730207476829136,0.783378490839931,0.2522756219682396,0.8930724010653104,62.0
COBYLA,2019-03-22 00:30:49.935055,4957.522689342499,2,17,0.1522890023336459,0.7734611907976408,0.24028227477166575,0.8739456488381303,78.0
COBYLA,2019-03-22 00:35:51.415777,5259.003410816193,2,18,0.1512825314566061,0.7724154887761591,0.2474257664862387,0.8772417129702132,79.0
COBYLA,2019-03-22 00:40:37.601599,5545.1892330646515,2,19,0.15045502550069512,0.7634540688705992,0.2457738187302113,0.8846866218140702,71.0
COBYLA,2019-03-22 00:45:38.192443,5845.780077219009,2,20,0.1525927495613311,0.7701843155976184,0.24691966032229432,0.8759152564519672,78.0
COBYLA,2019-03-22 00:50:38.598392,6146.186025619507,2,21,0.1482051532536943,0.7748772628513596,0.2486069420755932,0.8704412700026896,77.0
COBYLA,2019-03-22 00:55:37.555462,6445.143095731735,2,22,0.15200762823310665,0.7736731831033543,0.24669646586993266,0.8832818304276553,74.0
COBYLA,2019-03-22 01:00:22.480089,6730.067723035812,2,23,0.15524642271216765,0.7701348482346172,0.24885259196068724,0.865775606838191,69.0
COBYLA,2019-03-22 01:05:25.361610,7032.949243783951,2,24,0.15246388113413906,0.7747506349112957,0.2471996169659339,0.8841332381852361,79.0
COBYLA,2019-03-22 01:10:26.315713,7333.903346538544,2,25,0.15107585270911555,0.7723441140412597,0.24727082123108152,0.8767748458031749,79.0
COBYLA,2019-03-22 01:15:27.755398,7635.343032360077,2,26,0.15206407557874338,0.7714047936743539,0.2475830328839506,0.8788691904886765,73.0
COBYLA,2019-03-22 01:20:26.937628,7934.525261878967,2,27,0.15215249857441504,0.7719850408654971,0.2452373372577813,0.8774585702136343,78.0
COBYLA,2019-03-22 01:25:30.582917,8238.170550823212,2,28,0.15188610459570523,0.7713112996901611,0.2468758494548024,0.8782536289143875,77.0
COBYLA,2019-03-22 01:30:31.200266,8538.787900209427,2,29,0.15286448015146786,0.7723987707473591,0.24749645124674333,0.8755832292576646,81.0
COBYLA,2019-03-22 01:35:32.271422,8839.859055757523,2,30,0.15290812576975968,0.7726145176856863,0.24753931776968774,0.8769885949775514,77.0
COBYLA,2019-03-22 01:40:30.644331,9138.231964588165,2,31,0.15280061898686126,0.7714916644604178,0.24742763346741425,0.8716307527812704,78.0
COBYLA,2019-03-22 01:45:31.003151,9438.59078502655,2,32,0.1529913488189619,0.7735272806326704,0.24763971167155105,0.8757467985657871,75.0
COBYLA,2019-03-22 01:50:29.922894,9737.510527849197,2,33,0.15275329599994736,0.7723857045977084,0.24758094406290931,0.8755903871911395,82.0
COBYLA,2019-03-22 01:55:16.701224,10024.28885793686,2,34,0.15289373042904808,0.7718176020509758,0.24829618381115487,0.8760868305335126,65.0
COBYLA,2019-03-22 02:00:17.063527,10324.651160955429,2,35,0.15275026933416794,0.7724649330943028,0.24772141086371516,0.8755014044357411,75.0
COBYLA,2019-03-22 02:05:17.568979,10625.156613111496,2,36,0.15299463678250846,0.7720577173686933,0.2468419001351079,0.8761541717274095,78.0
COBYLA,2019-03-22 02:10:20.019426,10927.607059717178,2,37,0.15216286701229975,0.7725650446066512,0.2472971312420872,0.8755878557839837,78.0
COBYLA,2019-03-22 02:15:20.415128,11228.002761602402,2,38,0.15278847426551143,0.7723389874295152,0.24751545253215973,0.8745383946660673,75.0
COBYLA,2019-03-22 02:20:21.902178,11529.489811897278,2,39,0.1527926444772368,0.7726594814103483,0.24757665753563088,0.8757266446908031,76.0
COBYLA,2019-03-22 02:25:23.014318,11830.601951599121,2,40,0.15278993004880045,0.7723810646555609,0.24757890889264503,0.8756237730236132,78.0
COBYLA,2019-03-22 02:30:24.865040,12132.452673196793,2,41,0.15259851532462645,0.7723505137238174,0.24755477157032843,0.8756497981307775,77.0
