Algorithm;Timestamp;Elapsed Time;Run;Eval;min-c;max-c;d-c;max-d-stripes;Result;Best Result
crs2;2018-05-27 18:56:42.794065;379.68354177474976;1;1;0.2462488365234755;0.5729437458870061;0.10456176590710006;0.5254421042594299;44.0;44.0
crs2;2018-05-27 19:02:30.872731;727.7622082233429;1;2;0.25395971503140646;0.520067057027674;0.3564828954643903;0.0538479250165829;8.0;44.0
crs2;2018-05-27 19:08:45.641343;1102.5308203697205;1;3;0.22583635111397182;1.0163843489915392;0.3120160683356754;0.539881817175985;59.0;59.0
crs2;2018-05-27 19:14:53.627525;1470.5170023441315;1;4;0.47982311672296346;0.7044276319134526;0.31263282809422566;0.5239351380199876;39.0;59.0
crs2;2018-05-27 19:21:22.520650;1859.4101269245148;1;5;0.2130245068868865;0.7350195776804749;0.3914083176437169;0.5278108336132663;56.99999999999999;59.0
crs2;2018-05-27 19:27:32.068108;2228.957584619522;1;6;0.1432537731795434;0.9096316804899839;0.3145993133802516;0.2471451977072257;42.0;59.0
crs2;2018-05-27 19:34:07.115605;2624.0050818920135;1;7;0.31891763945172896;0.5766747421882452;0.4506637940517103;0.7458479923147253;59.0;59.0
crs2;2018-05-27 19:40:27.384117;3004.2735941410065;1;8;0.14108770836986598;0.6781563660440686;0.3169651452889239;0.36831667613774893;40.0;59.0
crs2;2018-05-27 19:46:02.667603;3339.5570805072784;1;9;0.3697007371948002;1.0625249649180084;0.34315652523450235;0.024141161119783563;34.0;59.0
crs2;2018-05-27 19:52:04.359881;3701.249357700348;1;10;0.3685462962520968;0.9751884238621875;0.44765990149725227;0.2519689528393537;43.0;59.0
crs2;2018-05-27 19:58:20.612952;4077.5024285316467;1;11;0.24051269578513002;0.9808946272924584;0.4242968262656226;1.0763611737493997;56.00000000000001;59.0
crs2;2018-05-27 20:04:16.194137;4433.083614349365;1;12;0.07746922306942458;0.6048866161672403;0.4952835891541368;0.0025674082156687318;24.0;59.0
crs2;2018-05-27 20:10:20.008722;4796.898199081421;1;13;0.050581154409713426;0.6914133934485513;0.08933098229574532;0.19212910107639317;31.0;59.0
crs2;2018-05-27 20:18:46.121868;5303.011345386505;1;14;0.05725120395216475;0.5203249373270696;0.48972221894165696;0.9719011115697593;98.0;98.0
