Algorithm,Timestamp,Elapsed Time,Curr Run,Curr Eval,min-c,max-c,d-c,max-d-stripes,sUDI
CRS2,2019-03-23 00:11:44.221485,256.3519868850708,1,1,0.09754412571952725,0.5226714912707646,0.30343860543162093,0.01282465690421465,14.000000000000002
CRS2,2019-03-23 00:16:30.415245,542.5457463264465,1,2,0.22343589454688412,0.8069063971474537,0.4001251900686966,0.722088337981441,62.0
CRS2,2019-03-23 00:20:58.925111,811.0556125640869,1,3,0.13367334086323412,0.6809490814467298,0.3320187206970968,0.18499241542550635,31.0
CRS2,2019-03-23 00:25:27.597325,1079.7278265953064,1,4,0.1393356171834239,0.8106223081343386,0.2111425962901773,0.35814998659360425,46.0
CRS2,2019-03-23 00:29:48.705876,1340.8363771438599,1,5,0.33769542300737054,0.9449144274990189,0.17254685368100306,0.404861534480174,38.0
CRS2,2019-03-23 00:33:56.494302,1588.6248035430908,1,6,0.23433449012432223,0.9634015962995495,0.11467970773355109,0.01152533943212617,34.0
CRS2,2019-03-23 00:38:39.158736,1871.2892382144928,1,7,0.1894056758696253,1.0854369365511296,0.4453999614401768,0.8091453627745232,67.0
CRS2,2019-03-23 00:43:29.309373,2161.4398744106293,1,8,0.19690149798797513,0.7920559912641718,0.47153634986850457,0.8086651634333348,70.0
CRS2,2019-03-23 00:47:56.356692,2428.4871938228607,1,9,0.09146207290124433,1.0831346620895461,0.3736398316089565,0.321948565365602,47.0
CRS2,2019-03-23 00:52:50.265280,2722.395781993866,1,10,0.07868244335155558,0.6261328676174222,0.21963011454096337,0.7081843850651877,62.0
CRS2,2019-03-23 00:57:39.568574,3011.6990756988525,1,11,0.11278722417308591,0.6158217943488914,0.18207303526938595,0.6110818659304845,60.0
CRS2,2019-03-23 01:01:59.371385,3271.501886367798,1,12,0.4019516882130786,0.9006613101357235,0.46284620697222256,0.09609337561428188,37.0
CRS2,2019-03-23 01:06:45.768186,3557.8986880779266,1,13,0.11608223958979233,0.5874916790012285,0.20175318730245834,0.4809499828672698,55.00000000000001
CRS2,2019-03-23 01:11:21.994932,3834.1254336833954,1,14,0.3121035486709697,0.5487695480818381,0.20473002252428857,0.6294731272426325,49.0
CRS2,2019-03-23 01:15:53.548408,4105.678909301758,1,15,0.4821223278916694,0.8640007603170736,0.31950676642519843,0.30446852849629075,49.0
CRS2,2019-03-23 01:20:15.596063,4367.726565122604,1,16,0.3803988122733186,1.0612002955657251,0.06777983934405574,0.19821758920194174,45.0
CRS2,2019-03-23 01:24:26.247035,4618.377537250519,1,17,0.4654590957186439,0.5685390264778671,0.30506441969837256,0.15673156708477143,21.0
CRS2,2019-03-23 01:28:34.345406,4866.475907802582,1,18,0.23095866237304447,0.6013056771073101,0.49740200016271174,0.04349317259016682,7.000000000000001
CRS2,2019-03-23 01:33:11.609458,5143.739959478378,1,19,0.2087430763827101,0.8550620854940345,0.17207648201716333,0.927934014559443,60.0
CRS2,2019-03-23 01:37:46.763999,5418.894500255585,1,20,0.43806320344471245,0.8046659065408763,0.23334531152132842,0.5589652642749063,56.00000000000001
CRS2,2019-03-23 01:42:19.808423,5691.938925027847,1,21,0.4362515663305431,0.7787719976131765,0.13432838064471186,0.4751600857055769,60.0
CRS2,2019-03-23 01:46:50.252342,5962.382843494415,1,22,0.2878869904672876,1.0577036116036487,0.22075346571211452,0.4123932242866379,55.00000000000001
CRS2,2019-03-23 01:51:47.680640,6259.811141729355,1,23,0.347365589447605,0.7486147581817784,0.46483526579973367,0.886953874026841,69.0
CRS2,2019-03-23 01:56:27.370451,6539.500952959061,1,24,0.32018342899861363,0.8430679857514605,0.2852274920039856,0.4716632743362469,62.0
CRS2,2019-03-23 02:00:41.835669,6793.966170310974,1,25,0.18250095680471917,0.9932485307383321,0.35965531323282596,0.054407823079710385,34.0
CRS2,2019-03-23 02:04:55.514866,7047.6453676223755,1,26,0.11388157044132281,0.607527939527526,0.3262369131788982,0.06483664969629083,18.0
CRS2,2019-03-23 02:09:32.715498,7324.845999956131,1,27,0.08178977999684059,0.9596762680397174,0.40268704317089965,0.8782963733350296,56.99999999999999
CRS2,2019-03-23 02:14:04.855746,7596.986247777939,1,28,0.18369346274057147,0.7568121071063709,0.43730741985972166,0.20932353360828462,38.0
CRS2,2019-03-23 02:18:49.509835,7881.640336275101,1,29,0.2979222724061098,0.6455921472514979,0.25390352387869025,0.9083447261410981,66.0
CRS2,2019-03-23 02:23:48.486117,8180.616618394852,1,30,0.0800989400441722,0.7618172206404961,0.15028437974983855,0.8963720904953313,75.0
CRS2,2019-03-23 02:28:23.496963,8455.62746477127,1,31,0.21883447951558782,0.6668649151627217,0.22069971579967962,0.4580943870250979,49.0
CRS2,2019-03-23 02:32:38.789097,8710.919598579407,1,32,0.49461014679475174,0.5367869520595131,0.2793705404008353,0.30223587570909694,23.0
