Algorithm,Timestamp,Elapsed Time,Curr Run,Curr Eval,min-c,max-c,d-c,max-d-stripes,sUDI
DIRECT-L,2019-03-18 16:13:22.765699,276.2747082710266,1,1,0.275,0.8,0.275,0.55,56.99999999999999
DIRECT-L,2019-03-18 16:18:10.690515,564.1995241641998,1,2,0.125,0.8,0.275,0.55,59.0
DIRECT-L,2019-03-18 16:22:58.020836,851.5298445224762,1,3,0.425,0.8,0.275,0.55,56.99999999999999
DIRECT-L,2019-03-18 16:27:44.971459,1138.480467557907,1,4,0.275,0.6,0.275,0.55,54.0
DIRECT-L,2019-03-18 16:32:31.816579,1425.3255879878998,1,5,0.275,1.0,0.275,0.55,56.00000000000001
DIRECT-L,2019-03-18 16:37:15.502223,1709.01123213768,1,6,0.275,0.8,0.125,0.55,62.0
DIRECT-L,2019-03-18 16:42:08.677576,2002.1865842342377,1,7,0.275,0.8,0.425,0.55,64.0
DIRECT-L,2019-03-18 16:46:33.290846,2266.7998552322388,1,8,0.275,0.8,0.275,0.18333333333333338,36.0
DIRECT-L,2019-03-18 16:51:22.378158,2555.8871672153473,1,9,0.275,0.8,0.275,0.9166666666666666,66.0
DIRECT-L,2019-03-18 16:56:10.723644,2844.2326533794403,1,10,0.125,0.8,0.275,0.9166666666666666,66.0
DIRECT-L,2019-03-18 17:00:58.907952,3132.416960477829,1,11,0.425,0.8,0.275,0.9166666666666666,63.0
DIRECT-L,2019-03-18 17:05:47.436663,3420.9456720352173,1,12,0.275,0.6,0.275,0.9166666666666666,71.0
DIRECT-L,2019-03-18 17:10:35.161362,3708.670371055603,1,13,0.275,1.0,0.275,0.9166666666666666,69.0
DIRECT-L,2019-03-18 17:15:23.814192,3997.3232004642487,1,14,0.275,0.8,0.125,0.9166666666666666,52.0
DIRECT-L,2019-03-18 17:20:24.073568,4297.582576751709,1,15,0.275,0.8,0.425,0.9166666666666666,70.0
DIRECT-L,2019-03-18 17:25:32.190047,4605.699056148529,1,16,0.125,0.6,0.275,0.9166666666666666,74.0
DIRECT-L,2019-03-18 17:30:36.103372,4909.612380743027,1,17,0.425,0.6,0.275,0.9166666666666666,63.0
DIRECT-L,2019-03-18 17:35:46.086110,5219.5951192379,1,18,0.275,0.6,0.125,0.9166666666666666,75.0
DIRECT-L,2019-03-18 17:41:05.934457,5539.443466186523,1,19,0.275,0.6,0.425,0.9166666666666666,72.0
DIRECT-L,2019-03-18 17:46:25.133593,5858.642601966858,1,20,0.125,0.6,0.125,0.9166666666666666,66.0
DIRECT-L,2019-03-18 17:51:37.709667,6171.218675851822,1,21,0.425,0.6,0.125,0.9166666666666666,70.0
DIRECT-L,2019-03-18 17:56:46.758186,6480.267195224762,1,22,0.22500000000000003,0.6,0.125,0.9166666666666666,72.0
DIRECT-L,2019-03-18 18:01:43.434467,6776.943475484848,1,23,0.325,0.6,0.125,0.9166666666666666,67.0
DIRECT-L,2019-03-18 18:06:51.525030,7085.03403878212,1,24,0.275,0.5333333333333333,0.125,0.9166666666666666,75.0
DIRECT-L,2019-03-18 18:11:55.882733,7389.3917417526245,1,25,0.275,0.6666666666666667,0.125,0.9166666666666666,76.0
DIRECT-L,2019-03-18 18:16:47.545215,7681.054224252701,1,26,0.275,0.6,0.07500000000000001,0.9166666666666666,64.0
DIRECT-L,2019-03-18 18:21:41.038430,7974.547438383102,1,27,0.275,0.6,0.175,0.9166666666666666,66.0
DIRECT-L,2019-03-18 18:26:31.719217,8265.228226184845,1,28,0.275,0.6,0.125,0.7944444444444444,71.0
DIRECT-L,2019-03-18 18:31:38.347030,8571.85603928566,1,29,0.275,0.6,0.125,1.038888888888889,76.0
DIRECT-L,2019-03-18 18:36:48.598757,8882.107765674591,1,30,0.125,0.6,0.425,0.9166666666666666,75.0
DIRECT-L,2019-03-18 18:41:40.190610,9173.699618577957,1,31,0.425,0.6,0.425,0.9166666666666666,63.0
DIRECT-L,2019-03-18 18:46:35.756207,9469.265215873718,1,32,0.22500000000000003,0.6666666666666667,0.125,0.9166666666666666,67.0
DIRECT-L,2019-03-18 18:51:33.452277,9766.961285591125,1,33,0.325,0.6666666666666667,0.125,0.9166666666666666,71.0
DIRECT-L,2019-03-18 18:56:22.787221,10056.296230077744,1,34,0.275,0.6666666666666667,0.07500000000000001,0.9166666666666666,62.0
DIRECT-L,2019-03-18 19:01:10.332807,10343.841815948486,1,35,0.275,0.6666666666666667,0.175,0.9166666666666666,67.0
DIRECT-L,2019-03-18 19:06:11.899821,10645.408829689026,1,36,0.275,0.6666666666666667,0.125,0.7944444444444444,71.0
DIRECT-L,2019-03-18 19:11:12.802326,10946.311334609985,1,37,0.275,0.6666666666666667,0.125,1.038888888888889,74.0
DIRECT-L,2019-03-18 19:16:04.536572,11238.045581102371,1,38,0.125,0.8,0.425,0.9166666666666666,66.0
DIRECT-L,2019-03-18 19:20:55.908057,11529.417066335678,1,39,0.425,0.8,0.425,0.9166666666666666,63.0
DIRECT-L,2019-03-18 19:25:58.634518,11832.143527030945,1,40,0.25833333333333336,0.6666666666666667,0.125,0.9166666666666666,73.0
DIRECT-L,2019-03-18 19:31:00.337250,12133.84625864029,1,41,0.29166666666666663,0.6666666666666667,0.125,0.9166666666666666,70.0
DIRECT-L,2019-03-18 19:35:58.448923,12431.957931756973,1,42,0.275,0.6444444444444445,0.125,0.9166666666666666,72.0
DIRECT-L,2019-03-18 19:40:58.859037,12732.368045568466,1,43,0.275,0.6888888888888889,0.125,0.9166666666666666,75.0
DIRECT-L,2019-03-18 19:45:57.501415,13031.010423898697,1,44,0.275,0.6666666666666667,0.10833333333333334,0.9166666666666666,67.0
DIRECT-L,2019-03-18 19:51:01.558390,13335.067399024963,1,45,0.275,0.6666666666666667,0.14166666666666666,0.9166666666666666,76.0
DIRECT-L,2019-03-18 19:56:04.796069,13638.305077552795,1,46,0.275,0.6666666666666667,0.125,0.875925925925926,75.0
DIRECT-L,2019-03-18 20:01:09.844562,13943.35357093811,1,47,0.275,0.6666666666666667,0.125,0.9574074074074074,76.0
DIRECT-L,2019-03-18 20:06:09.298092,14242.807100534439,1,48,0.22500000000000003,0.6,0.125,1.038888888888889,76.0
DIRECT-L,2019-03-18 20:11:02.894170,14536.403179168701,1,49,0.325,0.6,0.125,1.038888888888889,67.0
DIRECT-L,2019-03-18 20:16:04.747009,14838.256017923355,1,50,0.275,0.6,0.07500000000000001,1.038888888888889,78.0
