Algorithm,Timestamp,Elapsed Time,Curr Run,Curr Eval,min-c,max-c,d-c,max-d-stripes,sUDI
DIRECT,11:36.6,359.581476,1,1,0.275,0.8,0.275,0.55,57
DIRECT,17:50.0,732.997102,1,2,0.125,0.8,0.275,0.55,59
DIRECT,23:55.9,1098.938788,1,3,0.425,0.8,0.275,0.55,57
DIRECT,30:00.8,1463.800812,1,4,0.275,0.6,0.275,0.55,54
DIRECT,36:00.5,1823.455281,1,5,0.275,1,0.275,0.55,56
DIRECT,42:03.5,2186.538579,1,6,0.275,0.8,0.125,0.55,62
DIRECT,48:19.3,2562.308393,1,7,0.275,0.8,0.425,0.55,64
DIRECT,54:07.8,2910.797427,1,8,0.275,0.8,0.275,0.183333333,37
DIRECT,00:21.4,3284.403174,1,9,0.275,0.8,0.275,0.916666667,66
DIRECT,06:39.7,3662.702771,1,10,0.125,0.8,0.275,0.916666667,68
DIRECT,13:02.2,4045.15199,1,11,0.425,0.8,0.275,0.916666667,63
DIRECT,19:37.7,4440.669073,1,12,0.125,0.6,0.275,0.916666667,74
DIRECT,25:52.5,4815.460529,1,13,0.125,1,0.275,0.916666667,69
DIRECT,31:42.0,5165.019628,1,14,0.125,0.8,0.275,0.183333333,37
DIRECT,37:30.8,5513.817401,1,15,0.425,0.8,0.275,0.183333333,46
DIRECT,44:00.6,5903.577053,1,16,0.125,0.6,0.125,0.916666667,66
DIRECT,50:33.4,6296.360981,1,17,0.125,0.6,0.425,0.916666667,76
DIRECT,56:44.9,6667.939116,1,18,0.275,0.6,0.275,0.916666667,71
DIRECT,03:01.8,7044.749932,1,19,0.275,1,0.275,0.916666667,69
DIRECT,09:51.1,7454.112019,1,20,0.075,0.6,0.425,0.916666667,77
DIRECT,16:37.0,7859.996712,1,21,0.175,0.6,0.425,0.916666667,73
DIRECT,24:22.5,8325.479533,1,22,0.125,0.533333333,0.425,0.916666667,94
DIRECT,30:59.4,8722.367958,1,23,0.125,0.666666667,0.425,0.916666667,79
DIRECT,37:45.9,9128.883229,1,24,0.125,0.6,0.375,0.916666667,76
DIRECT,44:31.3,9534.339873,1,25,0.125,0.6,0.475,0.916666667,76
DIRECT,51:08.7,9931.650311,1,26,0.125,0.6,0.425,0.794444444,72
DIRECT,57:57.0,10340.02832,1,27,0.125,0.6,0.425,1.038888889,79
DIRECT,04:31.7,10734.69475,1,28,0.275,0.6,0.125,0.916666667,76
DIRECT,11:24.9,11147.88058,1,29,0.275,0.6,0.425,0.916666667,73
DIRECT,17:40.8,11523.78178,1,30,0.125,0.8,0.425,0.55,59
DIRECT,23:56.1,11899.09563,1,31,0.425,0.8,0.425,0.55,46
DIRECT,31:00.1,12323.04723,1,32,0.075,0.533333333,0.425,0.916666667,76
DIRECT,38:12.7,12755.66451,1,33,0.175,0.533333333,0.425,0.916666667,87
