Algorithm,Timestamp,Elapsed Time,Curr Run,Curr Eval,min-c,max-c,d-c,max-d-stripes,sUDI
NMS,2019-03-19 09:10:44.178414,271.6628119945526,2,1,0.46038864153783565,0.8365707603685892,0.3231703017526527,0.48390469848237283,50.0
NMS,2019-03-19 09:15:11.128519,538.6129171848297,2,2,0.49009716038445894,0.8365707603685892,0.3231703017526527,0.48390469848237283,48.0
NMS,2019-03-19 09:19:37.608757,805.0931549072266,2,3,0.46038864153783565,0.9865707603685893,0.3231703017526527,0.48390469848237283,48.0
NMS,2019-03-19 09:24:12.316453,1079.8008511066437,2,4,0.46038864153783565,0.8365707603685892,0.4356703017526527,0.48390469848237283,42.0
NMS,2019-03-19 09:28:53.091659,1360.5760571956635,2,5,0.46038864153783565,0.8365707603685892,0.3231703017526527,0.7589046984823729,71.0
NMS,2019-03-19 09:33:26.426898,1633.911295890808,2,6,0.4752429009611473,0.9115707603685894,0.21067030175265272,0.6214046984823728,59.0
NMS,2019-03-19 09:37:56.005758,1903.4901554584503,2,7,0.48267003067280323,0.7240707603685893,0.2669203017526528,0.6901546984823729,48.0
NMS,2019-03-19 09:42:20.277869,2167.7622668743134,2,8,0.46595898882157755,0.9209457603685893,0.30910780175265273,0.5354671984823729,40.0
NMS,2019-03-19 09:46:53.374614,2440.8590121269226,2,9,0.46038864153783565,0.8365707603685892,0.3231703017526527,0.6214046984823729,56.99999999999999
NMS,2019-03-19 09:51:32.530295,2720.014693260193,2,10,0.4752429009611473,0.8365707603685892,0.3231703017526527,0.6214046984823729,57.99999999999999
NMS,2019-03-19 09:55:58.392862,2985.8772599697113,2,11,0.46038864153783565,0.9115707603685892,0.3231703017526527,0.6214046984823729,48.0
NMS,2019-03-19 10:00:32.989561,3260.473959207535,2,12,0.4678157712494915,0.8740707603685893,0.2669203017526527,0.6901546984823728,56.00000000000001
NMS,2019-03-19 10:05:17.556227,3545.0406243801117,2,13,0.47152933610531933,0.7803207603685895,0.29504530175265276,0.7245296984823728,64.0
NMS,2019-03-19 10:09:55.802630,3823.2870275974274,2,14,0.4659589888215776,0.7709457603685894,0.36535780175265276,0.6729671984823729,56.99999999999999
NMS,2019-03-19 10:14:31.955454,4099.439851760864,2,15,0.46642318442855607,0.7967270103685894,0.3407484267526527,0.6772640734823728,53.0
NMS,2019-03-19 10:19:14.491757,4381.976155281067,2,16,0.46038864153783565,0.8365707603685892,0.3231703017526527,0.6901546984823729,62.0
NMS,2019-03-19 10:23:52.846169,4660.330567121506,2,17,0.4678157712494915,0.8365707603685892,0.3231703017526527,0.6901546984823729,60.0
NMS,2019-03-19 10:28:32.334493,4939.818891048431,2,18,0.4659589888215775,0.8084457603685894,0.30910780175265273,0.7417171984823728,66.0
NMS,2019-03-19 10:33:09.029845,5216.514242887497,2,19,0.46410220639366356,0.8553207603685893,0.2950453017526527,0.7245296984823728,56.00000000000001
NMS,2019-03-19 10:37:47.841073,5495.325471162796,2,20,0.4631738151797066,0.8037582603685891,0.3442640517526527,0.7159359484823731,53.0
NMS,2019-03-19 10:42:23.774933,5771.259331226349,2,21,0.4638701085901743,0.8424301353685892,0.30734998925265267,0.7223812609823729,60.0
NMS,2019-03-19 10:47:02.660463,6050.1448612213135,2,22,0.4634059129831959,0.8166488853685892,0.3319593642526527,0.718084385982373,59.0
NMS,2019-03-19 10:51:45.875650,6333.36004781723,2,23,0.4637540596884297,0.8359848228685892,0.3135023330026527,0.7213070422323729,64.0
NMS,2019-03-19 10:56:30.578395,6618.062793016434,2,24,0.45742939454334786,0.8222152916185894,0.3113050673776526,0.7658871203573728,65.0
NMS,2019-03-19 11:01:13.590443,6901.0748410224915,2,25,0.4633769007577596,0.8150375572435895,0.3053724501901526,0.8037533312948729,62.0
NMS,2019-03-19 11:05:54.543095,7182.027493238449,2,26,0.46113570634281664,0.8311874595873393,0.3187208388620277,0.7185543566854979,64.0
NMS,2019-03-19 11:10:34.659081,7462.143478870392,2,27,0.4587023059343592,0.8132248131029644,0.3176496718698401,0.7712246447714353,60.0
NMS,2019-03-19 11:15:17.029584,7744.513981342316,2,28,0.4624911212499121,0.830294820427183,0.31453916771944956,0.7337864428671385,67.0
NMS,2019-03-19 11:20:00.966286,8028.450684070587,2,29,0.46199836673352,0.8175758568041361,0.31034033043917614,0.7815933734091305,63.0
NMS,2019-03-19 11:24:45.136822,8312.62121963501,2,30,0.4613513714404925,0.8277845588915385,0.3166257117563148,0.7343141108664061,67.0
NMS,2019-03-19 11:29:28.598685,8596.083082437515,2,31,0.4676656669815611,0.8293326584093605,0.3204164241128823,0.7184741049917721,66.0
NMS,2019-03-19 11:34:11.976256,8879.460654258728,2,32,0.4651065988720078,0.8275533167116678,0.3181385849290749,0.7303273588331722,65.0
NMS,2019-03-19 11:38:53.151676,9160.636073827744,2,33,0.4608700064891641,0.8321776596300638,0.31989800675448377,0.7466094046743894,67.0
NMS,2019-03-19 11:43:37.532974,9445.017371416092,2,34,0.45890901804059175,0.8293930259935893,0.31723768456515267,0.7623959094198729,67.0
NMS,2019-03-19 11:48:17.691928,9725.176325798035,2,35,0.46317381517970657,0.8225082603685894,0.3161390517526527,0.7503109484823729,66.0
NMS,2019-03-19 11:52:59.664719,10007.149116516113,2,36,0.4614398813938739,0.8334327903978861,0.31885473473605114,0.7463455706747557,64.0
NMS,2019-03-19 11:57:40.620427,10288.104825258255,2,37,0.4602308592297752,0.8268920627825297,0.31936778767641977,0.7627649098547482,68.0
NMS,2019-03-19 12:02:19.694096,10567.178493738174,2,38,0.4570254474689769,0.8400084940187966,0.3236978386217018,0.7650265127333187,63.0
NMS,2019-03-19 12:07:03.414674,10850.899072408676,2,39,0.46163672325202415,0.8268833187811412,0.318028748469915,0.7539898395451093,69.0
NMS,2019-03-19 12:11:43.013310,11130.497708320618,2,40,0.46265409721380774,0.8318688747875729,0.32299473776158305,0.7487385168584368,63.0
NMS,2019-03-19 12:16:27.252506,11414.736903429031,2,41,0.4598452878338958,0.8300119881920852,0.31867694786426026,0.7589815612795139,67.0
NMS,2019-03-19 12:21:06.017319,11693.50171661377,2,42,0.4606293240134999,0.8343742099993265,0.32153415425356824,0.7527570515783811,63.0
NMS,2019-03-19 12:25:44.540145,11972.024542331696,2,43,0.45964882978921373,0.8329818931810893,0.3202039931589027,0.7606503039511229,64.0
NMS,2019-03-19 12:30:21.621385,12249.105783462524,2,44,0.4610126823949299,0.8317270395748653,0.32059952511128387,0.7564472690137412,64.0
NMS,2019-03-19 12:35:01.700256,12529.184653520584,2,45,0.4603097503838054,0.8317314115755594,0.3212690447145362,0.7608348041685605,62.0
NMS,2019-03-19 12:39:40.548463,12808.032860517502,2,46,0.4605299884839342,0.8360955399863759,0.32148494242366754,0.7535448573442484,60.0
NMS,2019-03-19 12:44:22.043430,13089.527827739716,2,47,0.4603648099088376,0.8328224436782635,0.32132301914181904,0.7590123174624825,63.0
NMS,2019-03-19 12:49:00.426128,13367.910526037216,2,48,0.460474928958902,0.8350045078836718,0.3214309679963847,0.7553673440503264,62.0
NMS,2019-03-19 12:53:38.912562,13646.39695930481,2,49,0.46039233967135373,0.8333679597296155,0.32135000635546046,0.7581010741094435,60.0
NMS,2019-03-19 12:58:16.865881,13924.350279331207,2,50,0.46050898277566776,0.8354724851839579,0.3223522280031105,0.755830875030377,56.99999999999999
NMS,2019-03-19 13:02:57.830689,14205.31508731842,2,51,0.4600187356635247,0.8347763267748393,0.3216871474557777,0.7597775012167478,63.0
NMS,2019-03-19 13:07:36.547589,14484.031987190247,2,52,0.46070066196638276,0.8341488999717273,0.3218849134319683,0.757675983748057,62.0
NMS,2019-03-19 13:12:15.694077,14763.178474664688,2,53,0.46037672572333665,0.8346966020234263,0.3222466604472359,0.7589585079724277,61.0
NMS,2019-03-19 13:16:56.647759,15044.132157325745,2,54,0.4602333996698721,0.8346238093853333,0.32214228354070673,0.7618274706794255,65.0
NMS,2019-03-19 13:21:35.098244,15322.582641839981,2,55,0.46029399369547086,0.8353632962268183,0.32219566264331684,0.7601343190908738,62.0
NMS,2019-03-19 13:26:15.359958,15602.844355583191,2,56,0.4603146767024373,0.8351966226759703,0.3222084120942966,0.7598403663112623,65.0
NMS,2019-03-19 13:30:53.693823,15881.178221225739,2,57,0.45977706482045216,0.8364348596306388,0.3227191589897486,0.7624990345968473,60.0
NMS,2019-03-19 13:35:35.160969,16162.645367383957,2,58,0.46046976267990014,0.8347203898864551,0.3220934748214134,0.7588817464602546,56.99999999999999
NMS,2019-03-19 13:40:13.194306,16440.67870426178,2,59,0.46031102060385387,0.8355972848769613,0.3226562926466797,0.7603660845808992,63.0
NMS,2019-03-19 13:44:51.383581,16718.867978572845,2,60,0.46020368860068017,0.8356735435717142,0.32242872460421523,0.7593410998495603,67.0
NMS,2019-03-19 13:49:31.356513,16998.84091067314,2,61,0.46054465175210924,0.8353598301701582,0.3225276075923105,0.7582903411152149,64.0
NMS,2019-03-19 13:54:09.970470,17277.45486831665,2,62,0.4603516591201365,0.8358836915222798,0.32268935692347467,0.7593725323968176,65.0
NMS,2019-03-19 13:58:49.509620,17556.99401807785,2,63,0.4604332999015268,0.8361466279394094,0.3227517027896468,0.7575882513410835,60.0
NMS,2019-03-19 14:03:27.492160,17834.976558208466,2,64,0.4603415904282721,0.8357346206425733,0.3226801451824215,0.7596716262709453,60.0
NMS,2019-03-19 14:08:07.354531,18114.838928937912,2,65,0.46034983107084476,0.8360840226227753,0.3229132971996662,0.7596353915316361,64.0
