Algorithm;Timestamp;Elapsed Time;Run;Eval;min-c;max-c;d-c;max-d-stripes;Result;Best Result
RBF;2018-05-27 02:25:23.612921;421.1282298564911;1;1;0.08461538461538462;0.6384615384615385;0.4653846153846154;0.5076923076923078;74.0;74.0
RBF;2018-05-27 02:32:16.930244;834.4455528259277;1;2;0.11923076923076924;0.5461538461538462;0.15384615384615385;0.7615384615384616;71.0;74.0
RBF;2018-05-27 02:37:58.948422;1176.4637308120728;1;3;0.15384615384615385;0.5923076923076923;0.22307692307692312;0.08461538461538462;17.0;74.0
RBF;2018-05-27 02:43:55.888222;1533.4035313129425;1;4;0.18846153846153846;0.8692307692307693;0.3269230769230769;0.16923076923076924;35.0;74.0
RBF;2018-05-27 02:50:32.076348;1929.5916576385498;1;5;0.22307692307692312;0.6846153846153846;0.08461538461538462;0.8461538461538463;66.0;74.0
RBF;2018-05-27 02:56:32.076916;2289.5922248363495;1;6;0.2576923076923077;0.9153846153846155;0.3961538461538462;0.2538461538461539;42.0;74.0
RBF;2018-05-27 03:02:46.143047;2663.6583557128906;1;7;0.2923076923076923;0.823076923076923;0.2923076923076923;0.5923076923076923;62.0;74.0
RBF;2018-05-27 03:09:16.178278;3053.693587064743;1;8;0.3269230769230769;0.7307692307692308;0.18846153846153846;0.9307692307692308;69.0;74.0
RBF;2018-05-27 03:15:27.930333;3425.4456419944763;1;9;0.36153846153846153;0.9615384615384617;0.5;0.3384615384615385;43.0;74.0
RBF;2018-05-27 03:22:00.311711;3817.8270201683044;1;10;0.3961538461538462;0.776923076923077;0.2576923076923077;1.0153846153846156;73.0;74.0
RBF;2018-05-27 03:28:00.798329;4178.313637971878;1;11;0.43076923076923074;1.053846153846154;0.36153846153846153;1.1;46.0;74.0
RBF;2018-05-27 03:33:59.783276;4537.298584938049;1;12;0.4653846153846154;1.1;0.43076923076923074;0.42307692307692313;44.0;74.0
RBF;2018-05-27 03:39:57.957939;4895.473248243332;1;13;0.5;1.0076923076923077;0.11923076923076924;0.676923076923077;44.0;74.0
RBF;2018-05-27 03:47:33.010090;5350.525399208069;1;14;0.1572336816602779;0.5480064410260882;0.49855044575600266;0.9853753148085754;92.0;92.0
RBF;2018-05-27 03:54:24.153340;5761.668648958206;1;15;0.37444656041597735;0.508198135134519;0.4022005223805356;1.0557374478385217;75.0;92.0
RBF;2018-05-27 04:01:28.235938;6185.751246929169;1;16;0.05503487488226809;0.744233543476019;0.48648839493942225;1.055716179244564;83.0;92.0
RBF;2018-05-27 04:09:55.473027;6692.988335847855;1;17;0.05164039395900169;0.519509906843552;0.495449921763963;1.004671551593463;98.0;98.0
RBF;2018-05-27 04:16:24.885143;7082.400452375412;1;18;0.33261284303975314;0.5138630478207178;0.43119323096119855;0.7003000715226906;56.00000000000001;98.0
RBF;2018-05-27 04:23:15.341389;7492.856698036194;1;19;0.050275934762315094;0.7377451552474162;0.4666287713682713;0.7730809222572131;69.0;98.0
RBF;2018-05-27 04:31:40.156972;7997.672280788422;1;20;0.05405133815374273;0.5008516085097025;0.4634900604347183;1.0968419175579092;98.0;98.0
RBF;2018-05-27 04:40:09.175773;8506.691081762314;1;21;0.05629992073185201;0.5108430235685587;0.4901590402171903;1.0750616092800265;97.0;98.0
RBF;2018-05-27 04:47:16.991314;8934.50662279129;1;22;0.05245168499071758;0.659597846586734;0.23805291710331078;1.0886991502338885;80.0;98.0
RBF;2018-05-27 04:55:33.367095;9430.882403850555;1;23;0.068199673184313;0.5036563803629283;0.49566548488381873;0.779329253158256;98.0;98.0
RBF;2018-05-27 05:04:00.961647;9938.476956129074;1;24;0.056023396540184546;0.5056886949243155;0.4787445322805761;0.9022211027952095;98.0;98.0
RBF;2018-05-27 05:12:31.936625;10449.451934099197;1;25;0.05243667124477964;0.5012249506211621;0.48881894401050635;0.9700990648930715;97.0;98.0
