Algorithm;Timestamp;Elapsed Time;Run;Eval;min-c;max-c;d-c;max-d-stripes;Result;Best Result
bobyqa;2018-05-28 14:40:53.151245;334.51615023612976;1;1;0.055253309;0.50004453;0.054341644;0.01046049;7.000000000000001;7.000000000000001
bobyqa;2018-05-28 14:46:33.261155;674.6260607242584;1;2;0.05919329075;0.50004453;0.054341644;0.01046049;8.0;8.0
bobyqa;2018-05-28 14:52:08.702144;1010.0670495033264;1;3;0.055253309;0.5000779275;0.054341644;0.01046049;7.000000000000001;8.0
bobyqa;2018-05-28 14:57:43.843299;1345.2082045078278;1;4;0.055253309;0.50004453;0.057597877000000006;0.01046049;7.000000000000001;8.0
bobyqa;2018-05-28 15:03:32.034111;1693.39901638031;1;5;0.055253309;0.50004453;0.054341644;0.018305857499999998;8.0;8.0
bobyqa;2018-05-28 15:09:04.271757;2025.6366624832153;1;6;0.05131332725;0.50004453;0.054341644;0.01046049;7.000000000000001;8.0
bobyqa;2018-05-28 15:14:41.993102;2363.3580071926117;1;7;0.055253309;0.5000111325;0.054341644;0.01046049;7.000000000000001;8.0
bobyqa;2018-05-28 15:20:21.621883;2702.986788749695;1;8;0.055253309;0.50004453;0.051085411000000004;0.01046049;8.0;8.0
bobyqa;2018-05-28 15:25:55.141364;3036.5062696933746;1;9;0.055253309;0.50004453;0.054341644;0.002615122500000001;6.0;8.0
bobyqa;2018-05-28 15:31:40.459637;3381.8245418071747;1;10;0.06266547258162351;0.50004453;0.05338510546932171;0.013365110926253695;7.000000000000001;8.0
bobyqa;2018-05-28 15:37:24.729466;3726.0943710803986;1;11;0.06000660331868733;0.50004453;0.05578671177313535;0.009658752987153367;10.0;10.0
bobyqa;2018-05-28 15:43:09.341980;4070.706885576248;1;12;0.06236611387327965;0.50004453;0.05831171648841315;0.008088510443051764;8.0;10.0
bobyqa;2018-05-28 15:48:50.282768;4411.647673368454;1;13;0.0595312738868186;0.50004453;0.05531658169582181;0.00973892668843803;8.0;10.0
bobyqa;2018-05-28 15:54:36.457939;4757.82284450531;1;14;0.06066011445153656;0.50004453;0.05630833464932347;0.01313936312472225;11.0;11.0
bobyqa;2018-05-28 16:00:18.552228;5099.917133331299;1;15;0.06120079499669022;0.50004453;0.056505003714255805;0.014191787187194474;6.0;11.0
