Algorithm,Timestamp,Elapsed Time,Curr Run,Curr Eval,min-c,max-c,d-c,max-d-stripes,sUDI
BOBYQA,2019-03-24 07:07:18.530090,242.50043559074402,1,1,0.055253309,0.50004453,0.054341644,0.01046049,7.000000000000001
BOBYQA,2019-03-24 07:11:26.493100,490.46344566345215,1,2,0.05919329075,0.50004453,0.054341644,0.01046049,8.0
BOBYQA,2019-03-24 07:15:29.543317,733.513662815094,1,3,0.055253309,0.5000779275,0.054341644,0.01046049,7.000000000000001
BOBYQA,2019-03-24 07:19:31.991905,975.9622502326965,1,4,0.055253309,0.50004453,0.057597877000000006,0.01046049,7.000000000000001
BOBYQA,2019-03-24 07:23:45.319573,1229.2899181842804,1,5,0.055253309,0.50004453,0.054341644,0.018305857499999998,8.0
BOBYQA,2019-03-24 07:27:48.054151,1472.024496793747,1,6,0.05131332725,0.50004453,0.054341644,0.01046049,7.000000000000001
BOBYQA,2019-03-24 07:31:52.229538,1716.1998839378357,1,7,0.055253309,0.5000111325,0.054341644,0.01046049,7.000000000000001
BOBYQA,2019-03-24 07:35:59.562043,1963.5323882102966,1,8,0.055253309,0.50004453,0.051085411000000004,0.01046049,8.0
BOBYQA,2019-03-24 07:40:00.990725,2204.96107006073,1,9,0.055253309,0.50004453,0.054341644,0.002615122500000001,6.0
BOBYQA,2019-03-24 07:44:12.066835,2456.037180185318,1,10,0.06266547258162351,0.50004453,0.05338510546932171,0.013365110926253695,7.000000000000001
BOBYQA,2019-03-24 07:48:21.250196,2705.220541715622,1,11,0.06000660331868733,0.50004453,0.05578671177313535,0.009658752987153367,10.0
BOBYQA,2019-03-24 07:52:31.509596,2955.4799411296844,1,12,0.06236611387327965,0.50004453,0.05831171648841315,0.008088510443051764,8.0
BOBYQA,2019-03-24 07:56:39.662960,3203.633305311203,1,13,0.0595312738868186,0.50004453,0.05531658169582181,0.00973892668843803,8.0
BOBYQA,2019-03-24 08:00:50.535444,3454.5057892799377,1,14,0.06066011445153656,0.50004453,0.05630833464932347,0.01313936312472225,11.0
BOBYQA,2019-03-24 08:04:59.223992,3703.194337129593,1,15,0.06120079499669022,0.50004453,0.056505003714255805,0.014191787187194474,6.0
