Algorithm;Timestamp;Elapsed Time;Run;Eval;min-c;max-c;d-c;max-d-stripes;Result;Best Result
cobyla;2018-05-28 13:15:24.090347;334.7773766517639;1;1;0.055253309;0.50004453;0.054341644;0.01046049;7.000000000000001;7.000000000000001
cobyla;2018-05-28 13:21:04.684637;675.3716659545898;1;2;0.05919329075;0.50004453;0.054341644;0.01046049;8.0;8.0
cobyla;2018-05-28 13:26:47.450799;1018.1378288269043;1;3;0.05919329075;0.5000779275;0.054341644;0.01046049;11.0;11.0
cobyla;2018-05-28 13:32:31.248218;1361.9352476596832;1;4;0.05919329075;0.5000779275;0.057597877000000006;0.01046049;11.0;11.0
cobyla;2018-05-28 13:38:17.545636;1708.2326657772064;1;5;0.05919329075;0.5000779275;0.054341644;0.018305857499999998;8.0;11.0
cobyla;2018-05-28 13:43:58.579704;2049.266732931137;1;6;0.06009718455461287;0.5001009132359159;0.054341644;0.0050609377725097365;6.0;11.0
cobyla;2018-05-28 13:49:31.160977;2381.8480060100555;1;7;0.059645237652306435;0.500089420367958;0.054341644;0.007760713886254869;5.0;11.0
cobyla;2018-05-28 13:55:14.739643;2725.4266724586487;1;8;0.05927959359597148;0.5000754150141171;0.054341644;0.01046049;11.0;11.0
cobyla;2018-05-28 14:00:54.259486;3064.9465148448944;1;9;0.05730913054350199;0.5000732772231264;0.054341644;0.01011653382742342;5.0;11.0
cobyla;2018-05-28 14:06:41.013954;3411.7009835243225;1;10;0.05916478113179054;0.5000821150950515;0.054341644;0.011144580422921222;8.0;11.0
cobyla;2018-05-28 14:12:24.922617;3755.609646320343;1;11;0.06044993657378271;0.5000650718697223;0.054341644;0.010540200932346016;9.0;11.0
cobyla;2018-05-28 14:18:10.596878;4101.283907413483;1;12;0.05938174868174135;0.5000807480014973;0.054341644;0.0122679894919072;8.0;11.0
cobyla;2018-05-28 14:23:56.303224;4446.990253210068;1;13;0.05919329075;0.5000779275;0.05472666782154825;0.01046049;11.0;11.0
cobyla;2018-05-28 14:29:38.087681;4788.774710178375;1;14;0.05975790979213456;0.5000712199095658;0.054341644;0.010144083784038532;10.0;11.0
cobyla;2018-05-28 14:35:18.619468;5129.306496858597;1;15;0.05936372125505272;0.5000803179812815;0.054341644;0.009731645526506747;4.0;11.0
