Algorithm;Timestamp;Elapsed Time;Run;Eval;min-c;max-c;d-c;max-d-stripes;Result;Best Result
nelder-mead;2018-05-28 17:35:11.070761;335.72087574005127;1;1;0.055253309;0.50004453;0.054341644;0.01046049;7.000000000000001;7.000000000000001
nelder-mead;2018-05-28 17:40:52.651172;677.3012869358063;1;2;0.05919329075;0.50004453;0.054341644;0.01046049;8.0;8.0
nelder-mead;2018-05-28 17:46:38.466210;1023.1163241863251;1;3;0.05919329075;0.5000779275;0.054341644;0.01046049;11.0;11.0
nelder-mead;2018-05-28 17:52:23.031573;1367.6816878318787;1;4;0.05919329075;0.5000779275;0.057597877;0.01046049;11.0;11.0
nelder-mead;2018-05-28 17:58:12.391499;1717.0416135787964;1;5;0.05919329075;0.5000779275;0.057597877;0.018305857499999998;8.0;11.0
nelder-mead;2018-05-28 18:04:00.362621;2065.012734889984;1;6;0.0631332725;0.5000946262499999;0.057597877;0.014383173749999995;9.0;11.0
nelder-mead;2018-05-28 18:09:33.925646;2398.575760126114;1;7;0.061163281624999996;0.500069578125;0.054341644;0.004576464375000002;6.0;11.0
nelder-mead;2018-05-28 18:15:14.660558;2739.3106727600098;1;8;0.05968578846875;0.50007584015625;0.05678381875;0.014873509218749999;9.0;11.0
nelder-mead;2018-05-28 18:21:12.350892;3097.001006603241;1;9;0.061409530484375;0.5001186307031249;0.058818964375;0.014628341484374998;15.0;15.0
nelder-mead;2018-05-28 18:27:11.788951;3456.4390659332275;1;10;0.06251765035156251;0.5001556810546873;0.061057624562499996;0.016712267226562497;15.0;15.0
nelder-mead;2018-05-28 18:32:57.338896;3801.9890110492706;1;11;0.061778903773437505;0.5001087158203126;0.05739436243749999;0.0100927383984375;5.0;15.0
nelder-mead;2018-05-28 18:38:43.248014;4147.8981285095215;1;12;0.06020906729492188;0.5000840590722656;0.056936454671875;0.013678316513671875;9.0;15.0
nelder-mead;2018-05-28 18:44:28.829540;4493.479654550552;1;13;0.0622714014921875;0.5001066284765624;0.0582084206875;0.014505757617187497;9.0;15.0
nelder-mead;2018-05-28 18:50:11.646697;4836.296811342239;1;14;0.0603014106171875;0.5000982791015625;0.0565803041875;0.012544415742187499;8.0;15.0
nelder-mead;2018-05-28 18:55:53.806953;5178.457067251205;1;15;0.0603014106171875;0.5000982791015625;0.0582084206875;0.012544415742187499;8.0;15.0
