Algorithm;Timestamp;Elapsed Time;Run;Eval;min-c;max-c;d-c;max-d-stripes;Result;Best Result
subplex;2018-05-28 19:01:29.153930;335.33135199546814;1;1;0.055253309;0.50004453;0.054341644;0.01046049;7.000000000000001;7.000000000000001
subplex;2018-05-28 19:07:09.688618;675.866039276123;1;2;0.05919329075;0.50004453;0.054341644;0.01046049;8.0;8.0
subplex;2018-05-28 19:12:54.866234;1021.043655872345;1;3;0.05919329075;0.5000779275;0.054341644;0.01046049;11.0;11.0
subplex;2018-05-28 19:18:37.056052;1363.2334733009338;1;4;0.0631332725;0.5000779275;0.054341644;0.01046049;11.0;11.0
subplex;2018-05-28 19:24:20.574544;1706.7519657611847;1;5;0.0631332725;0.500111325;0.054341644;0.01046049;9.0;11.0
subplex;2018-05-28 19:30:04.452731;2050.630152463913;1;6;0.06214827706250001;0.50009462625;0.054341644;0.01046049;7.000000000000001;11.0
subplex;2018-05-28 19:35:50.609526;2396.786947965622;1;7;0.061163281625;0.50006122875;0.054341644;0.01046049;7.000000000000001;11.0
subplex;2018-05-28 19:41:35.625695;2741.8031165599823;1;8;0.061163281625;0.5000779275;0.054341644;0.01046049;9.0;11.0
subplex;2018-05-28 19:47:16.782482;3082.959903717041;1;9;0.0631332725;0.50009462625;0.054341644;0.01046049;8.0;11.0
subplex;2018-05-28 19:53:00.158023;3426.335444688797;1;10;0.06264077478125;0.5000862768750001;0.054341644;0.01046049;10.0;11.0
subplex;2018-05-28 19:58:43.872119;3770.049540042877;1;11;0.06461076565625001;0.5000862768750001;0.054341644;0.01046049;8.0;11.0
subplex;2018-05-28 20:04:27.562991;4113.74041223526;1;12;0.06202515263281251;0.5000800148437501;0.054341644;0.01046049;8.0;11.0
subplex;2018-05-28 20:10:11.222502;4457.399924039841;1;13;0.06288702364062501;0.5000821021875;0.054341644;0.01046049;7.000000000000001;11.0
subplex;2018-05-28 20:15:56.241967;4802.419388771057;1;14;0.06214827706250001;0.5000779275;0.054341644;0.01046049;11.0;11.0
subplex;2018-05-28 20:21:40.589254;5146.766674995422;1;15;0.06214827706250001;0.5000779275;0.057597877;0.01046049;11.0;11.0
