Algorithm;Timestamp;Elapsed Time;Run;Eval;min-c;max-c;d-c;max-d-stripes;Result;Best Result
cobyla;2018-05-22 17:49:58.496915;422.14336800575256;2;1;0.2959544322036606;0.665023962215735;0.45776060374911276;1.0607868789216266;79.0;79.0
cobyla;2018-05-22 17:56:43.128055;826.7745089530945;2;2;0.40845443220366057;0.665023962215735;0.45776060374911276;1.0607868789216266;69.0;79.0
cobyla;2018-05-22 18:03:21.928615;1225.5750679969788;2;3;0.2959544322036606;0.815023962215735;0.45776060374911276;1.0607868789216266;66.0;79.0
cobyla;2018-05-22 18:10:24.294145;1647.940598487854;2;4;0.2959544322036606;0.665023962215735;0.4894401509372782;1.0607868789216266;79.0;79.0
cobyla;2018-05-22 18:17:32.578444;2076.2248978614807;2;5;0.2959544322036606;0.665023962215735;0.45776060374911276;1.0901967197304068;78.0;79.0
cobyla;2018-05-22 18:24:42.706497;2506.3529505729675;2;6;0.22748911251551482;0.546350741422949;0.45776060374911276;1.0589970530078927;82.0;82.0
cobyla;2018-05-22 18:31:40.068905;2923.7153589725494;2;7;0.12340226424919307;0.6015487655126016;0.45776060374911276;1.056276006218737;83.0;83.0
cobyla;2018-05-22 18:39:48.134626;3411.7810792922974;2;8;0.08937319838410207;0.5469095536549375;0.45776060374911276;1.0515503363144558;99.0;99.0
cobyla;2018-05-22 18:47:54.327611;3897.9740641117096;2;9;0.09398368953911422;0.5453933781324204;0.45776060374911276;1.0368979092494301;95.0;99.0
cobyla;2018-05-22 18:56:01.504963;4385.151416778564;2;10;0.08937319838410207;0.5469095536549375;0.463135640967735;1.0515503363144558;99.0;99.0
cobyla;2018-05-22 19:02:59.117873;4802.764326810837;2;11;0.12874639676820415;0.5938191073098751;0.45776060374911276;1.0566196693074852;77.0;99.0
cobyla;2018-05-22 19:11:03.904510;5287.550963401794;2;12;0.09164387403888478;0.5298660123950641;0.45776060374911276;1.051853627469718;96.0;99.0
cobyla;2018-05-22 19:18:01.783088;5705.429541349411;2;13;0.12874639676820415;0.5999750559239482;0.45776060374911276;1.0529784517160106;82.0;99.0
cobyla;2018-05-22 19:25:12.928456;6136.574909448624;2;14;0.08066926862185327;0.556003844145344;0.45776060374911276;1.051125806584283;83.0;99.0
cobyla;2018-05-22 19:32:59.963619;6603.610072135925;2;15;0.1324059471508789;0.5;0.45776060374911276;1.0538061461772312;94.0;99.0
