Algorithm;Timestamp;Elapsed Time;Run;Eval;min-c;max-c;d-c;max-d-stripes;Result;Best Result
nelder-mead;2018-05-22 12:16:53.348610;420.42582297325134;3;1;0.2959544322036606;0.665023962215735;0.45776060374911276;1.0607868789216264;78.0;78.0
nelder-mead;2018-05-22 12:23:30.026682;817.1038944721222;3;2;0.40845443220366057;0.665023962215735;0.45776060374911276;1.0607868789216264;70.0;78.0
nelder-mead;2018-05-22 12:30:01.561358;1208.6385707855225;3;3;0.2959544322036606;0.815023962215735;0.45776060374911276;1.0607868789216264;66.0;78.0
nelder-mead;2018-05-22 12:37:00.939982;1628.0171945095062;3;4;0.2959544322036606;0.665023962215735;0.4894401509372782;1.0607868789216264;78.0;78.0
nelder-mead;2018-05-22 12:44:06.522503;2053.599715948105;3;5;0.2959544322036606;0.665023962215735;0.4894401509372782;1.0901967197304065;79.0;79.0
nelder-mead;2018-05-22 12:51:00.854027;2467.9312398433685;3;6;0.3522044322036605;0.515023962215735;0.4894401509372782;1.0754917993260165;78.0;79.0
nelder-mead;2018-05-22 12:58:22.015408;2909.0926213264465;3;7;0.21157943220366054;0.590023962215735;0.5;1.0828442595282115;86.0;86.0
nelder-mead;2018-05-22 13:06:21.487386;3388.5645985603333;3;8;0.11314193220366053;0.5525239622157351;0.5;1.093872949831504;98.0;98.0
nelder-mead;2018-05-22 13:13:39.492766;3826.5699784755707;3;9;0.2326731822036605;0.5337739622157349;0.4788803018745563;1.0993872949831505;83.0;98.0
nelder-mead;2018-05-22 13:20:39.668316;4246.745528459549;3;10;0.11665755720366061;0.6931489622157351;0.4736003773431955;1.0966301224073272;83.0;98.0
nelder-mead;2018-05-22 13:28:49.861318;4736.9385306835175;3;11;0.08325911970366051;0.5572114622157349;0.5;1.1;98.0;98.0
nelder-mead;2018-05-22 13:37:16.273834;5243.351047277451;3;12;0.05;0.5033052122157351;0.4868001886715977;1.1;99.0;99.0
nelder-mead;2018-05-22 13:45:42.902712;5749.9799246788025;3;13;0.05;0.5;0.4854802075387574;1.1;99.0;99.0
nelder-mead;2018-05-22 13:52:53.896276;6180.973488807678;3;14;0.05;0.6193208372157353;0.5;1.095864241136265;85.0;99.0
nelder-mead;2018-05-22 14:01:22.132253;6689.209465503693;3;15;0.05;0.5;0.5;1.0982384730765573;98.0;99.0
