Algorithm;Timestamp;Elapsed Time;Run;Eval;min-c;max-c;d-c;max-d-stripes;Result;Best Result
subplex;2018-05-24 00:09:26.095752;420.1600103378296;4;1;0.2959544322036606;0.665023962215735;0.45776060374911276;1.0607868789216264;78.0;78.0
subplex;2018-05-24 00:16:04.036839;818.1010978221893;4;2;0.40845443220366057;0.665023962215735;0.45776060374911276;1.0607868789216264;70.0;78.0
subplex;2018-05-24 00:22:36.744101;1210.8083596229553;4;3;0.2959544322036606;0.815023962215735;0.45776060374911276;1.0607868789216264;66.0;78.0
subplex;2018-05-24 00:29:13.450843;1607.5151011943817;4;4;0.4084544322036606;0.515023962215735;0.45776060374911276;1.0607868789216264;70.0;78.0
subplex;2018-05-24 00:35:56.438954;2010.5032126903534;4;5;0.3803294322036606;0.590023962215735;0.45776060374911276;1.0607868789216264;76.0;78.0
subplex;2018-05-24 00:42:58.428850;2432.493108510971;4;6;0.2678294322036607;0.590023962215735;0.45776060374911276;1.0607868789216264;77.0;78.0
subplex;2018-05-24 00:49:54.103371;2848.1676301956177;4;7;0.1834544322036606;0.665023962215735;0.45776060374911276;1.0607868789216264;78.0;78.0
subplex;2018-05-24 00:56:34.481053;3248.5453124046326;4;8;0.2115794322036605;0.740023962215735;0.45776060374911276;1.0607868789216264;69.0;78.0
subplex;2018-05-24 01:03:46.280708;3680.3449671268463;4;9;0.25376693220366064;0.627523962215735;0.45776060374911276;1.0607868789216264;85.0;85.0
subplex;2018-05-24 01:10:39.892757;4093.957015275955;4;10;0.36626693220366063;0.6275239622157349;0.45776060374911276;1.0607868789216264;78.0;85.0
subplex;2018-05-24 01:17:53.805144;4527.869402885437;4;11;0.2291575572036606;0.655648962215735;0.45776060374911276;1.0607868789216264;80.0;85.0
subplex;2018-05-24 01:25:20.292447;4974.3567061424255;4;12;0.18697005720366067;0.618148962215735;0.45776060374911276;1.0607868789216264;91.0;91.0
subplex;2018-05-24 01:32:19.517201;5393.5814599990845;4;13;0.1324778697036607;0.594711462215735;0.45776060374911276;1.0607868789216264;83.0;91.0
subplex;2018-05-24 01:39:41.520757;5835.585016012192;4;14;0.2115794322036607;0.5900239622157349;0.45776060374911276;1.0607868789216264;86.0;91.0
subplex;2018-05-24 01:47:26.228927;6300.29318523407;4;15;0.14478255720366073;0.5806489622157348;0.45776060374911276;1.0607868789216264;92.0;92.0
